created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Nov 02 22:17:11 +0000 2017,0,0,122507478,"Chicago, IL",1579,1129,11,30110,False,23441,-3
Thu Nov 02 22:17:11 +0000 2017,0,0,2445985050,None,117,111,0,11448,False,1822,-3
Thu Nov 02 22:17:13 +0000 2017,0,0,542125931,None,497,1647,0,3331,False,384,-3
Thu Nov 02 22:17:14 +0000 2017,0,0,3196648768,Cali,568,330,15,14867,False,40642,-3
Thu Nov 02 22:17:26 +0000 2017,0,0,1236799980,SC: Littlered69,885,1776,5,12486,False,25726,-3
Thu Nov 02 23:30:25 +0000 2017,0,0,789907076583661569,where b*tchez cnt go,1026,828,8,8365,False,28610,-3
Thu Nov 02 23:30:43 +0000 2017,0,0,1284861,"Seattle, WA",3160,3087,111,27261,False,9447,-3
Thu Nov 02 23:30:53 +0000 2017,0,0,351327229,,405,552,2,345,False,43136,-3
Thu Nov 02 23:30:54 +0000 2017,0,0,76537816,Cleveland Hts | Athens ,884,705,2,5488,False,18298,-3
Thu Nov 02 23:30:54 +0000 2017,0,0,2844195328,on the road,586,359,1,5383,False,6622,-3
Thu Nov 02 23:30:59 +0000 2017,0,0,525981595,None,2034,868,2,2196,False,36560,-3
Thu Nov 02 23:31:00 +0000 2017,0,0,298305353,"Jackson, MS",672,345,3,808,False,10873,-3
Thu Nov 02 23:31:01 +0000 2017,0,0,564996408,"Normal, IL",102,170,1,3539,False,936,-3
Thu Nov 02 23:31:06 +0000 2017,0,0,2153746922,"Atlanta, GA",778,555,1,2641,False,15560,-3
Thu Nov 02 23:31:08 +0000 2017,0,0,56352860,In ya head...rent free!,532,613,5,259,False,20019,-3
Thu Nov 02 23:31:12 +0000 2017,0,0,2440755956,"Georgetown, KY",204,87,0,3215,False,5222,-3
Thu Nov 02 23:31:15 +0000 2017,0,0,330158767,"Dallas, TX",749,506,5,59940,False,52053,-3
Thu Nov 02 23:31:21 +0000 2017,0,0,407468794,"Newport Beach, CA",2546,4348,6,24028,False,12295,-3
Thu Nov 02 23:31:23 +0000 2017,0,0,730948852715393024,"Brampton, Ontario",172,193,2,1526,False,4220,-3
Thu Nov 02 23:31:24 +0000 2017,0,0,29905001,"Houston, TX",2614,1032,67,10204,False,354296,-3
Thu Nov 02 23:31:26 +0000 2017,0,0,2389142957, 904  330,763,1046,7,5284,False,23675,-3
Thu Nov 02 23:31:37 +0000 2017,0,0,774957582062456832,Here.,1143,853,7,876,False,27221,-3
Thu Nov 02 23:31:38 +0000 2017,0,0,2646212417,"Los Angeles, CA",210,86,4,10554,False,14258,-3
Thu Nov 02 23:31:39 +0000 2017,0,0,40809894,"Venice, Los Angeles",23759,19381,86,39750,False,49089,-3
Thu Nov 02 23:31:43 +0000 2017,0,0,2853301740,None,4231,4388,4,1531,False,9776,-3
