created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Nov 02 23:31:06 +0000 2017,0,0,588862677,somewhere ur not ,2098,773,8,53392,False,30689,1
Thu Nov 02 23:48:22 +0000 2017,0,0,402415526,"Oklahoma, USA",377,339,2,4431,False,9094,1
Thu Nov 02 23:49:22 +0000 2017,0,0,3092114541,probably @ Bob Evans ,442,428,3,7165,False,5268,1
Thu Nov 02 23:49:25 +0000 2017,0,0,2495600601,None,7115,6959,445,73005,False,148172,1
Thu Nov 02 23:49:58 +0000 2017,0,0,700259108,"Memphis, TN",248,259,2,2139,False,3542,1
Thu Nov 02 23:52:06 +0000 2017,0,0,80972136,252,3791,2079,8,6353,False,25473,1
Thu Nov 02 23:54:24 +0000 2017,0,0,2495600601,None,7115,6959,445,73008,False,148178,1
Thu Nov 02 23:54:40 +0000 2017,0,0,867158732605730816,None,171,172,0,319,False,123,1
Thu Nov 02 23:55:27 +0000 2017,0,0,3646305796,"Columbus, GA",619,444,2,7370,False,6867,1
Thu Nov 02 23:55:45 +0000 2017,0,0,2495600601,None,7115,6959,445,73009,False,148180,1
Thu Nov 02 23:57:06 +0000 2017,0,0,2385236617,PA,1761,1806,15,6239,False,5172,1
Thu Nov 02 23:57:25 +0000 2017,0,0,19008669,"Kentucky, USA",1160,1451,14,5938,False,69917,1
Thu Nov 02 23:59:01 +0000 2017,0,0,2923542778,E-Arth ,1106,2551,13,19728,False,7949,1
Thu Nov 02 23:59:08 +0000 2017,0,0,1263320713,MNSD,374,566,0,27425,False,3280,1
Thu Nov 02 23:59:08 +0000 2017,0,0,1480100276,loading...,212,229,5,2222,False,6385,1
Fri Nov 03 00:00:14 +0000 2017,0,0,1263320713,MNSD,374,566,0,27425,False,3280,1
Fri Nov 03 00:01:06 +0000 2017,0,0,707432317841707009,"Fairmount Heights, MD",229,294,5,1275,False,1924,1
Fri Nov 03 00:01:20 +0000 2017,0,0,2173361533,"Fenton,Michigan U.S.A",857,2684,11,120563,False,17176,1
Fri Nov 03 00:02:58 +0000 2017,0,0,352526175,None,931,2265,0,11020,False,11720,1
Fri Nov 03 00:04:46 +0000 2017,0,0,4064725572,"California, USA",200,91,2,4872,False,10217,1
Fri Nov 03 00:07:11 +0000 2017,0,0,2285655877,AZ,352,344,2,8697,False,4964,1
Fri Nov 03 00:07:55 +0000 2017,0,0,739916082,None,857,644,0,9540,False,11722,1
Fri Nov 03 00:09:04 +0000 2017,0,0,257218270,None,969,475,6,81693,False,54048,1
Fri Nov 03 00:13:54 +0000 2017,0,0,807205982812176384,"Huron, Ontario",136,91,1,5071,False,3519,1
Fri Nov 03 00:14:36 +0000 2017,0,0,2746843431,Michigan,730,227,11,56672,False,39485,1
Fri Nov 03 00:16:42 +0000 2017,0,0,145355519,Lincoln,80,174,4,5461,False,1837,1
Fri Nov 03 00:17:12 +0000 2017,0,0,1024870051,San Francisco,220,371,9,830,False,1796,1
Fri Nov 03 00:17:37 +0000 2017,0,0,2448077035,"Albuquerque, NM",7329,2327,317,106803,False,131551,1
Fri Nov 03 00:18:12 +0000 2017,0,0,2448077035,"Albuquerque, NM",7329,2327,317,106803,False,131552,1
Fri Nov 03 00:19:05 +0000 2017,0,0,406969900,"Pittsford, NY",615,479,4,15978,False,16717,1
Fri Nov 03 00:19:24 +0000 2017,0,0,299164986,probably my room,789,347,3,21621,False,22361,1
Fri Nov 03 00:19:50 +0000 2017,0,0,771112148156035072,936214,925,703,0,22673,False,9520,1
Fri Nov 03 00:20:21 +0000 2017,0,0,578689912,None,1561,94,2,1484,False,854,1
Fri Nov 03 00:21:56 +0000 2017,0,0,737766290513743872,"Palm Beach, FL",61,122,1,5790,False,1492,1
Fri Nov 03 00:24:42 +0000 2017,0,0,454518580,None,1138,2626,3,283,False,1769,1
Fri Nov 03 00:25:58 +0000 2017,0,0,354032408,San Diego,13165,3004,64,8786,False,9532,1
Fri Nov 03 00:27:25 +0000 2017,0,0,769628659,"Philadelphia, PA",574,294,0,3954,False,8092,1
Fri Nov 03 00:28:10 +0000 2017,0,0,2448077035,"Albuquerque, NM",7328,2327,319,106811,False,131554,1
Fri Nov 03 00:28:28 +0000 2017,0,0,210651782,"Hemet, CA",583,224,0,2729,False,27663,1
Fri Nov 03 00:28:36 +0000 2017,0,0,978908317,"Fairfield, OH",1116,415,5,11747,False,45708,1
Fri Nov 03 00:28:48 +0000 2017,0,0,1730709505,socal,1032,706,5,12237,False,9107,1
Fri Nov 03 00:33:29 +0000 2017,0,0,1933030454,"San Francisco, CA",452,157,1,4177,False,12944,1
Fri Nov 03 00:34:19 +0000 2017,0,0,2448077035,"Albuquerque, NM",7327,2327,319,106813,False,131557,1
Fri Nov 03 00:35:01 +0000 2017,0,0,2380913255,sc: kyijhab,1248,996,4,13701,False,18268,1
Fri Nov 03 00:35:19 +0000 2017,0,0,48200022,L O U I S V I L L E,3496,292,3,2861,False,3707,1
Fri Nov 03 00:36:21 +0000 2017,0,0,266192530,"Orlando, FL",3385,443,23,7836,False,36241,1
Fri Nov 03 00:38:01 +0000 2017,0,0,269950058,"San Diego, CA.",1849,1941,12,190,False,4713,1
Fri Nov 03 00:39:07 +0000 2017,0,0,585090909,"Buffalo, NY",766,1910,7,15838,False,13877,1
Fri Nov 03 00:39:35 +0000 2017,0,0,2412579175,"Tennessee, USA",330,529,4,12737,False,7424,1
Fri Nov 03 00:40:20 +0000 2017,0,0,2313307437,VA ,1214,1674,32,93470,False,65327,1
