created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Nov 02 22:17:08 +0000 2017,0,0,587280627,,1428,966,3,2789,False,45628,0
Thu Nov 02 22:17:09 +0000 2017,0,0,3314234887,"Atlanta, GA",466,442,7,8694,False,5586,0
Thu Nov 02 22:17:10 +0000 2017,0,0,2758569153,"Philadelphia, PA",336,196,2,8560,False,9422,0
Thu Nov 02 22:17:11 +0000 2017,0,0,2821807495,90,738,669,3,6801,False,12326,0
Thu Nov 02 22:17:12 +0000 2017,0,0,142117030,#sooflyent,2936,2451,17,1333,False,60856,0
Thu Nov 02 22:17:12 +0000 2017,0,0,256078413,Where the force is with me...,393,727,11,148579,False,12587,0
Thu Nov 02 22:17:12 +0000 2017,0,0,435585324,None,1016,675,2,9982,False,19957,0
Thu Nov 02 22:17:12 +0000 2017,0,0,1323952297,None,1384,703,6,74542,False,6915,0
Thu Nov 02 22:17:12 +0000 2017,0,0,2226264276,"Nibley, UT",243,504,2,2647,False,1090,0
Thu Nov 02 22:17:13 +0000 2017,0,0,2324987742,City Of The Dodgers ,402,385,2,9517,False,10647,0
Thu Nov 02 22:17:14 +0000 2017,0,0,308182245,"Los Angeles, CA",642,1218,7,750,False,25702,0
Thu Nov 02 22:17:14 +0000 2017,0,0,2741753913,404910336,1398,1247,3,3206,False,14403,0
Thu Nov 02 22:17:15 +0000 2017,0,0,20451134,"Long Beach, CA",1329,2592,45,14964,False,17209,0
Thu Nov 02 22:17:15 +0000 2017,0,0,2208095516,"Texas, USA",11257,11373,94,70569,False,140685,0
Thu Nov 02 22:17:16 +0000 2017,0,0,1656542730,"Houston, TX",993,728,3,41453,False,32890,0
Thu Nov 02 22:17:17 +0000 2017,0,0,3872358449,None,1018,980,4,1947,False,11931,0
Thu Nov 02 22:17:18 +0000 2017,0,0,780542788492414976,West Virginia,312,225,0,2029,False,1233,0
Thu Nov 02 22:17:18 +0000 2017,0,0,2460132216,WA  ID,253,317,3,8293,False,6389,0
Thu Nov 02 22:17:19 +0000 2017,0,0,783120057152909312,"Enterprise, Al Dallas, Tx",11616,1385,0,1130,False,2273,0
Thu Nov 02 22:17:19 +0000 2017,0,0,841331105655640069,"Georgia, USA",24746,2674,232,10462,False,23430,0
Thu Nov 02 22:17:20 +0000 2017,0,0,558368157,"BROOKLYN, NYC",57732,16323,300,206727,False,234191,0
Thu Nov 02 22:17:20 +0000 2017,0,0,733654105,"Davidson, NC",975,1399,20,34991,False,22766,0
Thu Nov 02 22:17:21 +0000 2017,0,0,792970476,"Yay Area, CA ",324,348,10,11475,False,27183,0
Thu Nov 02 22:17:22 +0000 2017,0,0,2783314096,None,935,525,5,13296,False,34932,0
Thu Nov 02 22:17:22 +0000 2017,0,0,965193896,"Arlington, TX, USA",1316,221,22,34003,False,27355,0
Thu Nov 02 22:17:22 +0000 2017,0,0,502163961,say town,1019,1446,6,19158,False,60905,0
Thu Nov 02 22:17:22 +0000 2017,0,0,409676213,None,218,568,12,13467,False,12395,0
Thu Nov 02 22:17:23 +0000 2017,0,0,3245732544,"Washington, DC",687,674,2,5035,False,10795,0
Thu Nov 02 22:17:23 +0000 2017,0,0,84712887,"Nashville, TN",3433,1678,11,3837,False,61767,0
Thu Nov 02 22:17:24 +0000 2017,0,0,762265836,"Brooklyn, NY",688,607,6,4650,False,23372,0
Thu Nov 02 22:17:24 +0000 2017,0,0,820818189827215360,"Tijuana, Baja California",1005,476,2,83787,False,8891,0
Thu Nov 02 22:17:26 +0000 2017,0,0,3477009735,"New York, USA",554,213,4,14036,False,2108,0
Thu Nov 02 22:17:27 +0000 2017,0,0,195082648,uptownnnnn.,10520,6382,103,2788,False,219936,0
Thu Nov 02 22:17:27 +0000 2017,0,0,4827671813,None,1269,2508,28,898,False,852,0
Thu Nov 02 23:30:25 +0000 2017,0,0,2153746922,"Atlanta, GA",778,555,1,2641,False,15559,0
Thu Nov 02 23:30:25 +0000 2017,0,0,318651162,None,164,304,1,7816,False,4427,0
Thu Nov 02 23:30:25 +0000 2017,0,0,66723234,Caliexas ,870,510,6,2153,False,88110,0
Thu Nov 02 23:30:25 +0000 2017,0,0,4558084814,None,780,264,0,771,False,4065,0
Thu Nov 02 23:30:26 +0000 2017,0,0,101402915,California ,251,197,0,26,False,3557,0
Thu Nov 02 23:30:27 +0000 2017,0,0,2942932463,"Auburndale, FL",451,359,2,1401,False,2494,0
Thu Nov 02 23:30:28 +0000 2017,0,0,854654435951128576,"Pico Rivera, CA",31,78,0,1701,False,299,0
Thu Nov 02 23:30:28 +0000 2017,0,0,54611965,"Kansas City, MO",549,479,20,115646,False,23985,0
Thu Nov 02 23:30:29 +0000 2017,0,0,537991267,Outer Eastern Melbourne,3090,1955,66,23166,False,65433,0
Thu Nov 02 23:30:30 +0000 2017,0,0,420075550,You should check this out ,755,692,4,2761,False,5478,0
Thu Nov 02 23:30:31 +0000 2017,0,0,2721859277,Charlotte,3019,1306,30,98351,False,156554,0
Thu Nov 02 23:30:31 +0000 2017,0,0,1273264494,None,310,200,0,1248,False,2559,0
Thu Nov 02 23:30:32 +0000 2017,0,0,1014399320,None,811,809,4,2325,False,18841,0
Thu Nov 02 23:30:33 +0000 2017,0,0,2844718030,Probably w nate,442,689,1,17124,False,3934,0
Thu Nov 02 23:30:33 +0000 2017,0,0,365277898,Basically Vegas,1061,863,12,40170,False,46887,0
Thu Nov 02 23:30:33 +0000 2017,0,0,1912988893,"Guadalajara, Jalisco",475,320,0,5368,False,6652,0
Thu Nov 02 23:30:34 +0000 2017,0,0,4864855050,None,365,398,0,8999,False,2978,0
Thu Nov 02 23:30:35 +0000 2017,0,0,778103239619272704,None,580,531,2,2481,False,4393,0
Thu Nov 02 23:30:35 +0000 2017,0,0,1031803454,$AN FRAN MI$$ION,837,390,9,5041,False,38278,0
Thu Nov 02 23:30:35 +0000 2017,0,0,452332067,"Dallas, TX",579,472,3,4100,False,19534,0
Thu Nov 02 23:30:36 +0000 2017,0,0,2258123665,None,1219,1693,4,1049,False,11645,0
Thu Nov 02 23:30:36 +0000 2017,0,0,210009710,Greater Vancouver,11363,11439,327,5764,False,30327,0
Thu Nov 02 23:30:36 +0000 2017,0,0,1273352972,DETATLCHI ,1920,222,2,5687,False,11739,0
Thu Nov 02 23:30:37 +0000 2017,0,0,562406371,"El Paso, TX",358,251,1,6937,False,9003,0
Thu Nov 02 23:30:38 +0000 2017,0,0,2976317611,HI  TX,111,143,4,2411,False,7208,0
Thu Nov 02 23:30:39 +0000 2017,0,0,1929545755,None,405,129,3,6130,False,25103,0
Thu Nov 02 23:30:39 +0000 2017,0,0,724363514480078849,"Toronto, Ontario",438,178,25,26861,False,68306,0
Thu Nov 02 23:30:39 +0000 2017,0,0,825026186,"Irving, TX",385,203,1,4514,False,14579,0
Thu Nov 02 23:30:40 +0000 2017,0,0,2733089800,in bed,963,494,3,8110,False,29073,0
Thu Nov 02 23:30:41 +0000 2017,0,0,777753475694399488,United States,243,214,1,2539,False,5822,0
Thu Nov 02 23:30:41 +0000 2017,0,0,909147216,"Brooklyn, new york",1930,1937,9,5378,False,7510,0
Thu Nov 02 23:30:42 +0000 2017,0,0,735706298,"Bowling Green, KY",885,783,3,6254,False,12801,0
Thu Nov 02 23:30:42 +0000 2017,0,0,2851478143,None,1398,576,8,11214,False,46586,0
Thu Nov 02 23:30:42 +0000 2017,0,0,2849818363,The Westside ,677,581,20,4756,False,91063,0
Thu Nov 02 23:30:43 +0000 2017,0,0,25738198,"Tampa, FL",101,320,3,1654,False,1471,0
Thu Nov 02 23:30:43 +0000 2017,0,0,873062349887774720,"Atlanta, GA",217,174,0,1511,False,5923,0
Thu Nov 02 23:30:44 +0000 2017,0,0,394674230,"New York, USA",1980,1661,11,8358,False,35013,0
Thu Nov 02 23:30:45 +0000 2017,0,0,366358076,in the books,3027,1238,6,17958,False,30900,0
Thu Nov 02 23:30:45 +0000 2017,0,0,2458988587,None,187,113,0,2375,False,1306,0
Thu Nov 02 23:30:46 +0000 2017,0,0,1370924570,"columbus,indiana ",317,221,0,16613,False,3823,0
Thu Nov 02 23:30:48 +0000 2017,0,0,1942195458,"San Antonio, TX",96,198,2,16342,False,4834,0
Thu Nov 02 23:30:48 +0000 2017,0,0,553398630,None,60,133,0,12478,False,4416,0
Thu Nov 02 23:30:48 +0000 2017,0,0,199539617,"/ Panicale, IT Cape Cod, Ma.",656,2252,21,8647,False,42623,0
Thu Nov 02 23:30:49 +0000 2017,0,0,708637742,"Austin, TX",1125,767,9,34810,False,72370,0
Thu Nov 02 23:30:52 +0000 2017,0,0,230480987,"Innisfil, Ontario",408,840,38,443,False,3156,0
Thu Nov 02 23:30:52 +0000 2017,0,0,2471631350,None,143989,575,587,22120,False,14845,0
Thu Nov 02 23:30:52 +0000 2017,0,0,3422757707,"New Orleans, LA",1133,675,6,866,False,60045,0
Thu Nov 02 23:30:53 +0000 2017,0,0,839095225,Occupied Patwin Land,7315,291,159,50138,False,28196,0
Thu Nov 02 23:30:53 +0000 2017,0,0,40809894,"Venice, Los Angeles",23759,19381,86,39750,False,49087,0
Thu Nov 02 23:30:53 +0000 2017,0,0,1661346547,"Las Vegas, NV",3553,1981,31,64035,False,136150,0
Thu Nov 02 23:30:53 +0000 2017,0,0,869188732800335872,Atlanta ga,305,804,0,885,False,829,0
Thu Nov 02 23:30:53 +0000 2017,0,0,415796609,1VoiceWorldWide ,653,586,4,2395,False,22398,0
Thu Nov 02 23:30:55 +0000 2017,0,0,2402045264,"Indianapolis, IN",385,326,0,980,False,5124,0
Thu Nov 02 23:30:55 +0000 2017,0,0,1034422362,None,573,373,5,20484,False,38738,0
Thu Nov 02 23:30:56 +0000 2017,0,0,2704578836,None,274,582,1,1041,False,2812,0
Thu Nov 02 23:30:56 +0000 2017,0,0,478995040,None,118,318,1,1526,False,1609,0
Thu Nov 02 23:30:56 +0000 2017,0,0,804586081278685185,Boyd tx,365,623,0,3431,False,4342,0
Thu Nov 02 23:30:57 +0000 2017,0,0,276259001,"Charlottesville, VA",900,497,69,24,False,3155,0
Thu Nov 02 23:30:59 +0000 2017,0,0,1855174562,"Houston, TX",52,178,1,2,False,9,0
Thu Nov 02 23:31:00 +0000 2017,0,0,1075939369,None,11184,10403,71,153197,False,32830,0
Thu Nov 02 23:31:00 +0000 2017,0,0,394674230,"New York, USA",1980,1661,11,8358,False,35013,0
Thu Nov 02 23:31:00 +0000 2017,0,0,3046739293,None,207,667,5,737,False,499,0
Thu Nov 02 23:30:59 +0000 2017,0,0,882450972,"Stevensville, East Cost",521,179,5,7420,False,9217,0
Thu Nov 02 23:31:01 +0000 2017,0,0,157192556,Citizen of the world!,552,1169,17,7798,False,31257,0
Thu Nov 02 23:31:02 +0000 2017,0,0,483435087,In my prime ,1471,918,18,23153,False,101266,0
Thu Nov 02 23:31:02 +0000 2017,0,0,308745808,Somewhere minding my own ,2423,1865,13,6840,False,11808,0
Thu Nov 02 23:31:02 +0000 2017,0,0,785889740562108416,Probably playing softball ,86,131,0,105,False,1679,0
Thu Nov 02 23:31:04 +0000 2017,0,0,241691090,Chiraq Outwest,9562,5553,15,2364,False,16133,0
Thu Nov 02 23:31:04 +0000 2017,0,0,612873773,704,1294,1085,3,3081,False,26124,0
Thu Nov 02 23:31:05 +0000 2017,0,0,90776428,Where I Be,1710,876,5,3885,False,24215,0
Thu Nov 02 23:31:05 +0000 2017,0,0,265525072,609,1642,1050,7,16601,False,63864,0
Thu Nov 02 23:31:07 +0000 2017,0,0,1187208654,"Swartz Creek, MI",251,274,2,1156,False,2384,0
Thu Nov 02 23:31:07 +0000 2017,0,0,512793454,AL.,478,474,1,18840,False,11819,0
Thu Nov 02 23:31:07 +0000 2017,0,0,837818543097905153,Luh A & Bloop World,680,642,0,1725,False,5001,0
Thu Nov 02 23:31:09 +0000 2017,0,0,38304846,East Orlando,1583,401,6,9880,False,10428,0
Thu Nov 02 23:31:10 +0000 2017,0,0,1494571356,"Albuquerque, NM",756,548,1,4796,False,5212,0
Thu Nov 02 23:31:10 +0000 2017,0,0,49708595,martinsville,622,2147,11,16649,False,28133,0
Thu Nov 02 23:31:11 +0000 2017,0,0,451163915,"Houston, TX",1332,677,14,111324,False,70879,0
Thu Nov 02 23:31:12 +0000 2017,0,0,1938904572,Bahamas,1967,1471,5,9261,False,46827,0
Thu Nov 02 23:31:12 +0000 2017,0,0,727474639467851780,None,1112,693,7,6405,False,45243,0
Thu Nov 02 23:31:12 +0000 2017,0,0,1239732726,None,675,549,3,20452,False,34418,0
Thu Nov 02 23:31:12 +0000 2017,0,0,3084611482,Long Island ,1667,993,41,2459,False,146676,0
Thu Nov 02 23:31:13 +0000 2017,0,0,709955511303725056,"Sioux City, IA",142,73,0,6190,False,1834,0
Thu Nov 02 23:31:14 +0000 2017,0,0,3027652242,"Los Angeles, CA",243,162,3,2166,False,15066,0
Thu Nov 02 23:31:15 +0000 2017,0,0,199559549,"Baltimore, MD",1556,926,15,4086,False,93703,0
Thu Nov 02 23:31:15 +0000 2017,0,0,2886150777,,514,761,1,11114,False,17602,0
Thu Nov 02 23:31:15 +0000 2017,0,0,754904544245608448,"Manhattan, NY",797,24,10,9849,False,6185,0
Thu Nov 02 23:31:15 +0000 2017,0,0,23452035,"Tampa, FL",949,163,52,3314,False,26493,0
Thu Nov 02 23:31:16 +0000 2017,0,0,62051783,"ST. Petersburg, FL",1006,1970,11,8016,False,26253,0
Thu Nov 02 23:31:17 +0000 2017,0,0,371829969,new orleans,380,551,1,5272,False,17748,0
Thu Nov 02 23:31:17 +0000 2017,0,0,1972326229,None,694,1478,3,3,False,1468,0
Thu Nov 02 23:31:18 +0000 2017,0,0,511257627,"Indianapolis, IN",599,443,4,12484,False,7399,0
Thu Nov 02 23:31:18 +0000 2017,0,0,478762411,OIIIIIIIO,667,474,1,5107,False,24428,0
Thu Nov 02 23:31:18 +0000 2017,0,0,524741271,My Lil Gay Bubble,2495,3118,10,942,False,5709,0
Thu Nov 02 23:31:19 +0000 2017,0,0,763849849850789889,"Philadelphia, PA",375,315,1,3982,False,7232,0
Thu Nov 02 23:31:19 +0000 2017,0,0,280647294,"Athens, OH",11649,1559,30,30901,False,133084,0
Thu Nov 02 23:31:20 +0000 2017,0,0,604154400,"La Marque, TX",2707,1989,10,22853,False,92055,0
Thu Nov 02 23:31:22 +0000 2017,0,0,33736519,"Toronto, ON",1705,1445,129,3344,False,7156,0
Thu Nov 02 23:31:22 +0000 2017,0,0,2209384436,seaside ,414,507,1,2670,False,7957,0
Thu Nov 02 23:31:23 +0000 2017,0,0,1069459514,"East Moline, IL",1544,1022,4,23693,False,16644,0
Thu Nov 02 23:31:24 +0000 2017,0,0,446744398,"Providence, RI",529,532,8,5501,False,34671,0
Thu Nov 02 23:31:27 +0000 2017,0,0,48224280,"Carrollton, Texas",1306,1031,18,64060,False,79283,0
Thu Nov 02 23:31:28 +0000 2017,0,0,723680797358723072,"Tennessee, USA",431,798,0,24741,False,1273,0
Thu Nov 02 23:31:29 +0000 2017,0,0,917462928114241536,Berthold ND,78,141,0,1191,False,1718,0
Thu Nov 02 23:31:31 +0000 2017,0,0,31349670,"West Hollywood, CA",67,6,0,45,False,149,0
Thu Nov 02 23:31:31 +0000 2017,0,0,3304670383,None,880,763,3,6073,False,6159,0
Thu Nov 02 23:31:32 +0000 2017,0,0,795792478909714436,"Atlanta, GA",6413,5149,5,6146,False,15352,0
Thu Nov 02 23:31:34 +0000 2017,0,0,1664343422,"Oakland, CA",1365,1024,13,16750,False,20369,0
Thu Nov 02 23:31:34 +0000 2017,0,0,878504072,"Texas City, TX",2133,1039,5,23173,False,32751,0
Thu Nov 02 23:31:34 +0000 2017,0,0,2338647762,Check out my videos ,2628,2,27,2327,False,24,0
Thu Nov 02 23:31:35 +0000 2017,0,0,177710656,"T: 32.719851,-117.014135",372,527,5,4843,False,51864,0
Thu Nov 02 23:31:35 +0000 2017,0,0,770697654,"Front Left, UT",851,370,7,19926,False,40768,0
Thu Nov 02 23:31:35 +0000 2017,0,0,2533888564,None,668,976,2,1552,False,2540,0
Thu Nov 02 23:31:37 +0000 2017,0,0,51646105,East Los Angeles/Boyle Heights,962,911,45,11149,False,57140,0
Thu Nov 02 23:31:38 +0000 2017,0,0,781390470123556864,"Canton, MI",202,291,4,55775,False,9829,0
Thu Nov 02 23:31:40 +0000 2017,0,0,543846448,$traightup,1125,388,5,2421,False,36271,0
Thu Nov 02 23:31:41 +0000 2017,0,0,450746242,Kershaw SC,826,587,9,5713,False,12288,0
Thu Nov 02 23:31:41 +0000 2017,0,0,2820953980,None,1735,490,9,21849,False,103376,0
Thu Nov 02 23:31:42 +0000 2017,0,0,68199364,"Greensboro, NC",1649,328,6,119,False,91837,0
Thu Nov 02 23:31:42 +0000 2017,0,0,319415674,"Maryland, USA",1951,1033,7,10793,False,102037,0
Thu Nov 02 23:31:42 +0000 2017,0,0,3393510539,None,451,733,1,1744,False,1329,0
Thu Nov 02 23:31:43 +0000 2017,0,0,789933648493416448,"San Antonio, TX",125,493,0,32,False,154,0
Thu Nov 02 23:31:43 +0000 2017,0,0,1010111887,where ever the pen takes me,1528,2723,11,43951,False,75748,0
Thu Nov 02 23:31:43 +0000 2017,0,0,885731399872823298,"Toronto, Ontario",107,81,0,851,False,3730,0
Thu Nov 02 23:31:43 +0000 2017,0,0,992254346,Dik,176,235,0,2536,False,196,0
Thu Nov 02 23:31:45 +0000 2017,0,0,560715375,Lindsay California.,876,549,4,4179,False,36105,0
Thu Nov 02 23:31:45 +0000 2017,0,0,817566285739544576,"Indiana, USA",227,173,0,3874,False,634,0
Thu Nov 02 23:31:50 +0000 2017,0,0,294840110,None,299,282,6,3101,False,58964,0
Thu Nov 02 23:31:52 +0000 2017,0,0,449376304,"Los Angeles, CA",9874,9004,131,2833,False,6698,0
Thu Nov 02 23:31:53 +0000 2017,0,0,346689650,"Streetsboro, OH",399,321,2,1620,False,15788,0
Thu Nov 02 23:31:54 +0000 2017,0,0,192138899,ATL HOE,220,276,3,13934,False,17381,0
Thu Nov 02 23:31:55 +0000 2017,0,0,705986348084105217,Earth ,94,124,0,3409,False,2047,0
Thu Nov 02 23:31:56 +0000 2017,0,0,38203154,None,190,229,1,440,False,2272,0
Thu Nov 02 23:31:56 +0000 2017,0,0,2704578836,None,274,582,1,1041,False,2813,0
Thu Nov 02 23:31:58 +0000 2017,0,0,1262309652,None,410,370,0,840,False,1915,0
Thu Nov 02 23:31:58 +0000 2017,0,0,166061486,"Texas, USA",1397,236,4,18001,False,72232,0
Thu Nov 02 23:31:59 +0000 2017,0,0,753697448,Battery City,515,1684,0,2297,False,5938,0
Thu Nov 02 23:32:01 +0000 2017,0,0,414517787,None,351,743,3,15122,False,21430,0
Thu Nov 02 23:32:05 +0000 2017,0,0,232652595,"Seattle, WA",48,286,0,1470,False,3651,0
Thu Nov 02 23:32:05 +0000 2017,0,0,249271752,"Ames, IA",596,93,6,4880,False,10464,0
Thu Nov 02 23:32:07 +0000 2017,0,0,1022957137,None,501,643,10,18456,False,47616,0
Thu Nov 02 23:32:07 +0000 2017,0,0,1407812966,"Charlotte, NC",1836,1690,5,44016,False,49724,0
Thu Nov 02 23:32:07 +0000 2017,0,0,2369695994,"Portland, OR",79,172,3,1894,False,636,0
Thu Nov 02 23:32:08 +0000 2017,0,0,179660403,None,558,77,8,130,False,108581,0
Thu Nov 02 23:32:11 +0000 2017,0,0,917897347803242496,"Mexicali, Baja California",7,18,0,391,False,27,0
Thu Nov 02 23:32:08 +0000 2017,0,0,123365066,603,1125,1645,6,39344,False,46566,0
Thu Nov 02 23:32:12 +0000 2017,0,0,637353647,"Auburn, WA",1130,1030,17,24639,False,48767,0
Thu Nov 02 23:32:13 +0000 2017,0,0,797714818916458496,Chick-Fil-A ,187,142,0,3486,False,1102,0
Thu Nov 02 23:32:14 +0000 2017,0,0,25347274,"Philadelphia, PA",2608,341,90,521,False,1790,0
Thu Nov 02 23:32:15 +0000 2017,0,0,46060854,"Coral Springs, FL",169,326,1,1852,False,3648,0
Thu Nov 02 23:32:20 +0000 2017,0,0,778734005180993536,"Missouri City, TX",559,762,3,4656,False,5287,0
Thu Nov 02 23:32:21 +0000 2017,0,0,809310522403209217,None,165,536,1,358,False,459,0
Thu Nov 02 23:32:22 +0000 2017,0,0,72238133,None,606,234,9,744,False,18193,0
Thu Nov 02 23:32:22 +0000 2017,0,0,732847277912510468,"McGehee, AR",549,538,1,981,False,1233,0
Thu Nov 02 23:40:39 +0000 2017,0,0,1525751664,follow me Ig @1beezy2fye,359,945,13,315,False,7386,0
Thu Nov 02 23:40:40 +0000 2017,0,0,64084667,None,280,272,0,2502,False,5219,0
Thu Nov 02 23:40:41 +0000 2017,0,0,981678152,Alaina¡¯s mommy,788,440,4,25408,False,42685,0
Thu Nov 02 23:40:42 +0000 2017,0,0,3679098203,"Oakland, CA",228,778,0,1372,False,1703,0
Thu Nov 02 23:40:43 +0000 2017,0,0,2948652879,Virginia,8578,3511,10,6910,False,8762,0
Thu Nov 02 23:40:46 +0000 2017,0,0,284874230,"Manila, Philippines 
",567,337,2,10149,False,18222,0
Thu Nov 02 23:40:46 +0000 2017,0,0,839932778,"Central Harlem, Manhattan",803,803,6,4025,False,8705,0
Thu Nov 02 23:40:46 +0000 2017,0,0,736059937231495169,"New York, NY",644,1699,6,919,False,1719,0
Thu Nov 02 23:40:47 +0000 2017,0,0,4900637212,"Bum-Fuck-NoWhere, Ohio",51,90,0,2540,False,551,0
Thu Nov 02 23:40:48 +0000 2017,0,0,1102477124,"South Carolina, USA",1154,571,4,49348,False,106195,0
Thu Nov 02 23:40:48 +0000 2017,0,0,793666581800681472,Canada,1430,1041,16,1017,False,490,0
Thu Nov 02 23:40:48 +0000 2017,0,0,788503647281741824,None,207,276,5,18851,False,8166,0
Thu Nov 02 23:40:49 +0000 2017,0,0,909531488206680064,under SamAndColbys bed,71,261,0,1380,False,676,0
Thu Nov 02 23:40:49 +0000 2017,0,0,1053574627,"Orlando, FL",177,138,3,6639,False,6680,0
Thu Nov 02 23:40:49 +0000 2017,0,0,306684227,"Oak Cliff, TX",293,183,12,40,False,10028,0
Thu Nov 02 23:40:50 +0000 2017,0,0,760021940,None,574,1269,1,9060,False,3858,0
Thu Nov 02 23:40:50 +0000 2017,0,0,234437383,"California, USA",760,1687,7,1752,False,28495,0
Thu Nov 02 23:40:51 +0000 2017,0,0,852204038770892801,None,509,359,0,1133,False,3748,0
Thu Nov 02 23:40:52 +0000 2017,0,0,434418485,None,973,1151,0,4870,False,11593,0
Thu Nov 02 23:40:53 +0000 2017,0,0,23245628,"Downriver, Michigan",277,459,4,4512,False,22909,0
Thu Nov 02 23:40:54 +0000 2017,0,0,713919034182410241,w/ my dog,295,264,0,5277,False,5027,0
Thu Nov 02 23:40:54 +0000 2017,0,0,19730149,"New York, USA",344,259,2,23614,False,8113,0
Thu Nov 02 23:40:55 +0000 2017,0,0,1703060725,None,366,225,1,11059,False,3819,0
