created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Nov 02 22:17:19 +0000 2017,0,0,65693753,"Miami, FL",727,42,25,8,False,1014,0
Thu Nov 02 23:30:36 +0000 2017,0,0,325799813,"Chicago, IL",1744,1140,30,35417,False,36511,0
Thu Nov 02 23:30:50 +0000 2017,0,0,4309789463,None,107,125,0,406,False,125,0
Thu Nov 02 23:31:02 +0000 2017,0,0,28016366,"Miami, FL",483,298,7,20954,False,9503,0
Thu Nov 02 23:32:16 +0000 2017,0,0,2945779699,"Roscoe, TX",418,479,1,7422,False,5496,0
Thu Nov 02 23:40:49 +0000 2017,0,0,734784724309299200,"Frisco, TX",173,69,0,46,False,110,0
Thu Nov 02 23:41:03 +0000 2017,0,0,49247379,"North Carolina, USA",258,244,7,979,False,37983,0
Thu Nov 02 23:41:21 +0000 2017,0,0,461474912,UH Alumna,1178,814,22,6427,False,37678,0
Thu Nov 02 23:41:39 +0000 2017,0,0,20897203,New Orleans ,535,306,1,5040,False,24239,0
Thu Nov 02 23:42:07 +0000 2017,0,0,159345003,"San Bernardino, CA",6107,1812,21,11102,False,48153,0
Thu Nov 02 23:42:10 +0000 2017,0,0,321674976,"Cleveland, OH ",738,494,10,56362,False,13607,0
Thu Nov 02 23:42:22 +0000 2017,0,0,21338827,Toronto,24115,16898,453,6970,False,28555,0
Thu Nov 02 23:42:48 +0000 2017,0,0,923958762,laying on the beach,402,292,5,19607,False,23824,0
Thu Nov 02 23:42:57 +0000 2017,0,0,343454796,Texas,306,359,1,3255,False,1349,0
Thu Nov 02 23:43:16 +0000 2017,0,0,3150621661,None,123,148,0,1253,False,1768,0
Thu Nov 02 23:43:29 +0000 2017,0,0,739234698128445440,shit talk | new york,513,197,2,170,False,4489,0
Thu Nov 02 23:43:36 +0000 2017,0,0,30745454,New York City,561,1197,46,395,False,867,0
Thu Nov 02 23:43:41 +0000 2017,0,0,1681460190,None,113,83,2,3706,False,4000,0
Thu Nov 02 23:43:46 +0000 2017,0,0,14615240,Worldwide,24530,3030,44,1470,True,7534,0
Thu Nov 02 23:43:49 +0000 2017,0,0,869773970651848704,"Prairie View, TX",416,680,0,1097,False,1591,0
Thu Nov 02 23:43:55 +0000 2017,0,0,721249710,The Lou,355,942,0,18836,False,5236,0
Thu Nov 02 23:44:20 +0000 2017,0,0,333726376,None,776,717,2,20215,False,27119,0
Thu Nov 02 23:44:25 +0000 2017,0,0,182165192,Booked & Busy.,390,115,3,1649,False,12851,0
Thu Nov 02 23:44:28 +0000 2017,0,0,730146622051651584,"Memphis, TN",843,2589,0,3310,False,1124,0
Thu Nov 02 23:44:35 +0000 2017,0,0,444369403,None,290,263,3,6713,False,1014,0
Thu Nov 02 23:45:20 +0000 2017,0,0,555675684,"Chicago, IL",377,186,1,1283,False,2598,0
Thu Nov 02 23:45:32 +0000 2017,0,0,1928399162,None,678,224,1,19643,False,27085,0
Thu Nov 02 23:45:35 +0000 2017,0,0,3403299621,"New York, USA",803,4981,21,2446,False,5039,0
Thu Nov 02 23:45:57 +0000 2017,0,0,1078703833,"Houston, TX",558,299,4,11236,False,65526,0
Thu Nov 02 23:46:27 +0000 2017,0,0,296919884,910336,5234,3847,51,19517,False,244454,0
Thu Nov 02 23:46:37 +0000 2017,0,0,1387315802,Utopia,1242,789,25,49998,False,44032,0
Thu Nov 02 23:46:40 +0000 2017,0,0,15067351,Fort Lauderdale,3997,742,128,8783,False,32937,0
Thu Nov 02 23:46:41 +0000 2017,0,0,475326582,"Wichita, KS. ",793,410,2,4315,False,315,0
Thu Nov 02 23:46:45 +0000 2017,0,0,738023276648206336,"Destin, FL",513,334,6,638,False,1558,0
Thu Nov 02 23:46:46 +0000 2017,0,0,409388438,"Dallas, TX",2175,300,6,8140,False,46896,0
Thu Nov 02 23:47:11 +0000 2017,0,0,881147732,None,493,315,1,31146,False,8086,0
Thu Nov 02 23:47:17 +0000 2017,0,0,377574976,None,337,266,0,3850,False,6263,0
Thu Nov 02 23:47:22 +0000 2017,0,0,66205140,NJ,469,355,4,846,False,43849,0
Thu Nov 02 23:47:30 +0000 2017,0,0,2592148543,Number 17 Cherry Tree Lane   ,300,780,18,15453,False,4199,0
Thu Nov 02 23:48:25 +0000 2017,0,0,747076991069884416,"Milwaukee, WI",67,543,0,1206,False,818,0
Thu Nov 02 23:48:31 +0000 2017,0,0,57467719,"Houston, TX",423,480,3,1611,False,3018,0
Thu Nov 02 23:48:37 +0000 2017,0,0,2357000779,None,152,88,1,5588,False,1625,0
Thu Nov 02 23:48:45 +0000 2017,0,0,1970357263,"Kent, OH",1031,1235,2,15985,False,11760,0
Thu Nov 02 23:48:51 +0000 2017,0,0,2481081462,1/2 glockamole ,1112,1770,10,10012,False,19934,0
Thu Nov 02 23:49:03 +0000 2017,0,0,2269195399,"College Station, TX",373,210,4,3028,False,6251,0
Thu Nov 02 23:49:07 +0000 2017,0,0,727694485052743680,"Monterrey, Nuevo Le¨®n",117,72,1,1601,False,915,0
Thu Nov 02 23:49:28 +0000 2017,0,0,615383443,Los Angeles ,195,217,1,2387,False,17139,0
Thu Nov 02 23:49:45 +0000 2017,0,0,2393394414,Toronto,2660,698,70,15257,False,9260,0
Thu Nov 02 23:50:47 +0000 2017,0,0,783694944519200768,New York...or anywhere you are,5082,688,34,8272,False,2122,0
Thu Nov 02 23:51:04 +0000 2017,0,0,1282008390,None,732,602,6,30096,False,14005,0
Thu Nov 02 23:51:50 +0000 2017,0,0,456964862,"Santa Clarita, CA",386,316,0,10571,False,11879,0
Thu Nov 02 23:52:12 +0000 2017,0,0,1607315352,None,173,138,3,3365,False,4731,0
Thu Nov 02 23:52:33 +0000 2017,0,0,184634334,KristenB.,3156,980,11,14295,False,111765,0
Thu Nov 02 23:53:01 +0000 2017,0,0,764608010161229824,"California, USA",129,488,0,3042,False,883,0
Thu Nov 02 23:53:12 +0000 2017,0,0,2721707588,None,264,88,7,12296,False,9489,0
Thu Nov 02 23:53:29 +0000 2017,0,0,3416295880,"Central Point, OR",119,291,0,1956,False,1167,0
Thu Nov 02 23:53:32 +0000 2017,0,0,2250937445,"Gastonia, NC",804,822,2,4718,False,9254,0
Thu Nov 02 23:53:33 +0000 2017,0,0,112117792,"Duluth, GA",1623,2367,19,7,False,8892,0
