created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Nov 02 22:17:08 +0000 2017,0,0,850390902,"Dallas, TX",1208,928,2,5935,False,18420,0
Thu Nov 02 22:17:09 +0000 2017,0,0,601689132,"Idaho, USA",153,227,2,8349,False,6494,0
Thu Nov 02 22:17:09 +0000 2017,0,0,33722151,"chattanooga, tn",1412,741,8,20567,False,41541,0
Thu Nov 02 22:17:13 +0000 2017,0,0,713505625,"San Jose, CA",420,383,7,11340,False,15557,0
Thu Nov 02 22:17:14 +0000 2017,0,0,2453939254,nowhere round you.,446,508,1,1242,False,5288,0
Thu Nov 02 22:17:16 +0000 2017,0,0,2306834914,Florida A&M University ,485,369,3,2542,False,8793,0
Thu Nov 02 22:17:17 +0000 2017,0,0,64418488,None,593,1035,3,1976,False,9980,0
Thu Nov 02 22:17:23 +0000 2017,0,0,165441744,None,1183,960,1,1398,False,81791,0
Thu Nov 02 22:17:26 +0000 2017,0,0,818125469790982144,"St Marys, OH",207,471,0,330,False,148,0
Thu Nov 02 22:17:26 +0000 2017,0,0,3552752534,Puerto Rico  Htx,1220,896,19,23335,False,18751,0
Thu Nov 02 23:30:25 +0000 2017,0,0,3410467181,"Ottawa, Ontario",85,212,2,6993,False,2655,0
Thu Nov 02 23:30:26 +0000 2017,0,0,2159375097,"Whitehall, PA",628,602,2,9963,False,18807,0
Thu Nov 02 23:30:29 +0000 2017,0,0,776479960970108928,None,135,240,1,2067,False,1703,0
Thu Nov 02 23:30:30 +0000 2017,0,0,2538156026,"PalmdaleYosemite Lakes, CA",727,431,11,12922,False,82520,0
Thu Nov 02 23:30:33 +0000 2017,0,0,793546886506479616,"Bayonne, NJ",106,95,0,1041,False,4880,0
Thu Nov 02 23:30:39 +0000 2017,0,0,1121011884,"San Bernardino, CA",582,536,1,4331,False,9454,0
Thu Nov 02 23:30:43 +0000 2017,0,0,170199555,NYC,1822,1524,26,8064,False,245502,0
Thu Nov 02 23:30:47 +0000 2017,0,0,15657499,"Seattle, WA",940,904,26,1266,False,6009,0
Thu Nov 02 23:30:51 +0000 2017,0,0,2486723475,None,1245,777,3,12875,False,22704,0
Thu Nov 02 23:30:53 +0000 2017,0,0,240780621,"Laval, QC, Canada",71,318,1,101,False,1156,0
Thu Nov 02 23:30:56 +0000 2017,0,0,817056417962225664,"Crete, IL",222,278,5,1098,False,2216,0
Thu Nov 02 23:31:00 +0000 2017,0,0,794421936679948288,None,113,144,2,4467,False,5308,0
Thu Nov 02 23:31:01 +0000 2017,0,0,4728120316,Lost in my thoughts ,400,266,1,5777,False,9029,0
Thu Nov 02 23:31:05 +0000 2017,0,0,629034869,Minneapolis ,2485,5000,104,36393,False,33925,0
Thu Nov 02 23:31:04 +0000 2017,0,0,94943101,"Duval, FLA to TN to ATL",1666,1515,16,1969,False,60106,0
Thu Nov 02 23:31:09 +0000 2017,0,0,27352036,None,594,270,5,16073,False,14289,0
Thu Nov 02 23:31:11 +0000 2017,0,0,863358829626392576,las vegas ,74,114,0,896,False,430,0
Thu Nov 02 23:31:12 +0000 2017,0,0,262024439,None,1632,1315,12,52,False,95797,0
Thu Nov 02 23:31:17 +0000 2017,0,0,2530116504,None,134,205,2,8157,False,2503,0
Thu Nov 02 23:31:27 +0000 2017,0,0,219839500,"Nashville, TN",401,316,16,159792,False,15957,0
Thu Nov 02 23:31:29 +0000 2017,0,0,48804747,Los Angeles,568,725,57,396,False,4308,0
Thu Nov 02 23:31:33 +0000 2017,0,0,3235466396,growin...,508,438,2,16175,False,17691,0
