created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Nov 02 23:32:14 +0000 2017,0,0,4222529494,"Ohio, USA",333,70,1,11023,False,1942,0
Thu Nov 02 23:41:39 +0000 2017,0,0,3308328307,"Norman, OK",139,157,2,6692,False,3869,0
Thu Nov 02 23:41:52 +0000 2017,0,0,292123514,None,987,1417,21,10378,False,149538,0
Thu Nov 02 23:42:32 +0000 2017,0,0,139902482,"Moss Point, MS / Ole Miss ",2099,1202,26,13247,False,286059,0
Thu Nov 02 23:42:33 +0000 2017,0,0,381896868,"Pennsylvania, USA",175,101,1,7042,False,27447,0
Thu Nov 02 23:43:37 +0000 2017,0,0,264381715,"Windsor Locks, CT",919,1247,6,10909,False,28790,0
Thu Nov 02 23:45:30 +0000 2017,0,0,2310807788,"San Antonio/Los Angeles, CA",59951,65852,37,18949,False,13537,0
Thu Nov 02 23:46:04 +0000 2017,0,0,2310807788,"San Antonio/Los Angeles, CA",59951,65852,37,18949,False,13537,0
Thu Nov 02 23:47:15 +0000 2017,0,0,923593237138468865,Playland & Catnip Universe,44,96,0,185,False,249,0
Thu Nov 02 23:47:17 +0000 2017,0,0,42796069,SC: DeeGreen7,836,704,10,1934,False,30622,0
Thu Nov 02 23:49:16 +0000 2017,0,0,464887184,Within and Without,667,1398,3,12221,False,17236,0
Thu Nov 02 23:51:08 +0000 2017,0,0,1902497815,"Indiana, USA",913,200,1,16061,False,12374,0
Thu Nov 02 23:51:33 +0000 2017,0,0,1902497815,"Indiana, USA",913,200,1,16061,False,12374,0
Thu Nov 02 23:51:35 +0000 2017,0,0,33542743,"Nashville, TN",1163,21,26,3105,False,1651,0
Thu Nov 02 23:52:19 +0000 2017,0,0,75591075,3rd Rock From Sun,3095,4461,31,58906,False,53362,0
Thu Nov 02 23:53:29 +0000 2017,0,0,300367769,"Indianapolis, IN",487,435,5,8799,False,32609,0
Thu Nov 02 23:53:41 +0000 2017,0,0,154311406,"London, England",413,827,21,1939,False,803,0
Thu Nov 02 23:53:48 +0000 2017,0,0,146553999,"Montr¨¦al, Qu¨¦bec",15,15,2,37,False,422,0
Thu Nov 02 23:55:23 +0000 2017,0,0,2333107796,None,2542,123,32,1673,True,500,0
Thu Nov 02 23:55:35 +0000 2017,0,0,902882448681443328,"Speedway, IN",54,146,0,572,False,333,0
Thu Nov 02 23:56:51 +0000 2017,0,0,37751727,"Vancouver, British Columbia",2539,881,135,226,False,16752,0
Thu Nov 02 23:58:27 +0000 2017,0,0,904967072370843649,None,38,57,0,26,False,27,0
Thu Nov 02 23:58:29 +0000 2017,0,0,713683741789409280,"Sheridan, WY",96,245,3,2966,False,1329,0
Fri Nov 03 00:00:03 +0000 2017,0,0,305319199,"Heartland, Florida",14427,206,21,9763,False,15248,0
Fri Nov 03 00:00:04 +0000 2017,0,0,65166946,"Pembroke Pines, FL",2129,641,36,3653,False,22493,0
Fri Nov 03 00:00:39 +0000 2017,0,0,3074107302,"Alliston, Ontario, Canada",674,1557,32,78672,False,12449,0
Fri Nov 03 00:01:16 +0000 2017,0,0,365404543,"Athens, OH",778,792,2,9715,False,11866,0
Fri Nov 03 00:02:48 +0000 2017,0,0,861742164035997696,WV,696,407,0,27994,False,21894,0
Fri Nov 03 00:04:03 +0000 2017,0,0,1255467338,None,1053,5003,40,61216,False,57843,0
Fri Nov 03 00:04:22 +0000 2017,0,0,2364504944,"Toronto, Ontario",5657,615,9,258,False,18894,0
Fri Nov 03 00:04:52 +0000 2017,0,0,23485412,"Miami, FL",345,486,8,6728,False,28957,0
Fri Nov 03 00:06:26 +0000 2017,0,0,2408140069,"Atlanta, GA",3278,972,33,5912,False,163548,0
Fri Nov 03 00:06:35 +0000 2017,0,0,50654822,New Orleans,4213,1155,175,2841,False,8401,0
Fri Nov 03 00:06:37 +0000 2017,0,0,902654003988893703,"Overland Park, KS",70,282,0,370,False,120,0
Fri Nov 03 00:07:10 +0000 2017,0,0,342386040,None,285,291,0,783,False,5821,0
Fri Nov 03 00:08:55 +0000 2017,0,0,3051541431,None,266,253,1,2736,False,3940,0
Fri Nov 03 00:09:32 +0000 2017,0,0,191704182,Philly,382,440,1,1586,False,21909,0
Fri Nov 03 00:10:16 +0000 2017,0,0,367184284,"SouthWestern Ontario, eh :-) ",3541,3151,28,22211,False,29345,0
Fri Nov 03 00:10:45 +0000 2017,0,0,58948401,United States,1354,747,26,718,False,32701,0
Fri Nov 03 00:11:02 +0000 2017,0,0,4581001636,1970's,684,456,13,13492,False,33314,0
Fri Nov 03 00:11:07 +0000 2017,0,0,361719929,R.I,1088,1141,3,10505,False,3435,0
Fri Nov 03 00:11:11 +0000 2017,0,0,343793952,Houston ,540,392,6,3409,False,22245,0
Fri Nov 03 00:12:07 +0000 2017,0,0,108455645,"Keys 2 The Lex = Love, TX",4419,4010,84,38101,False,91100,0
Fri Nov 03 00:12:27 +0000 2017,0,0,305704907,"Washington, DC",656,836,29,1840,False,4305,0
Fri Nov 03 00:13:20 +0000 2017,0,0,865920560,"Matthews, NC",728,721,0,9110,False,17376,0
Fri Nov 03 00:14:20 +0000 2017,0,0,604951927,"Millersville, PA",520,420,7,3828,False,28763,0
Fri Nov 03 00:15:19 +0000 2017,0,0,523509739,"Brooklyn, NY",5699,990,188,4298,True,6720,0
Fri Nov 03 00:15:21 +0000 2017,0,0,544119651,CA  OR ,429,225,5,14451,False,17321,0
Fri Nov 03 00:18:42 +0000 2017,0,0,309561597,"Seattle,Wa",147,77,3,9572,False,6249,0
Fri Nov 03 00:19:10 +0000 2017,0,0,34875566,None,391,264,30,1505,False,48940,0
Fri Nov 03 00:22:06 +0000 2017,0,0,442439947,"Delray Beach, FL",889,149,15,4076,False,1422,0
Fri Nov 03 00:22:23 +0000 2017,0,0,868570688096878592,"Utah, USA",555,575,7,19607,False,20720,0
Fri Nov 03 00:22:42 +0000 2017,0,0,2543632671,The Court,1323,1110,5,10860,False,48731,0
Fri Nov 03 00:22:47 +0000 2017,0,0,622479509,150RockBlock,1579,757,4,4232,False,35717,0
Fri Nov 03 00:23:00 +0000 2017,0,0,262228105,GottiWorld Usa,2800,347,2,1552,False,43352,0
Fri Nov 03 00:23:22 +0000 2017,0,0,229181509,"El Dorado, KS",3600,2401,3,51313,False,40176,0
Fri Nov 03 00:23:46 +0000 2017,0,0,493498031,"Cleveland, OH",4950,4388,4,6358,False,50465,0
Fri Nov 03 00:24:16 +0000 2017,0,0,4665991850,Sa tx,536,484,0,9378,False,3429,0
Fri Nov 03 00:24:39 +0000 2017,0,0,2440916501,None,460,338,2,4152,False,1570,0
Fri Nov 03 00:24:48 +0000 2017,0,0,2339042921,None,338,257,3,3022,False,3710,0
Fri Nov 03 00:25:36 +0000 2017,0,0,80219473,"Sherman Oaks, Los Angeles ©¸A",12527,3279,23,13038,False,16230,0
Fri Nov 03 00:28:20 +0000 2017,0,0,261355153,Always somewhere,549,366,3,2049,False,3722,0
Fri Nov 03 00:28:31 +0000 2017,0,0,855543396,None,1174,1096,1,1943,False,28395,0
Fri Nov 03 00:31:12 +0000 2017,0,0,3965319639,"Colorado, USA",512,428,7,32999,False,8205,0
Fri Nov 03 00:31:25 +0000 2017,0,0,3245732544,"Washington, DC",686,675,2,5045,False,10877,0
Fri Nov 03 00:32:19 +0000 2017,0,0,2231951923,"Minneapolis, MN",513,589,15,13460,False,10470,0
Fri Nov 03 00:32:26 +0000 2017,0,0,829725624721764353,"Arizona, USA",665,654,1,15578,False,17910,0
Fri Nov 03 00:32:31 +0000 2017,0,0,229233052,"Palm Bay, FL",192,216,2,3858,False,9767,0
Fri Nov 03 00:33:06 +0000 2017,0,0,3288514712,Vincent ,278,221,4,9931,False,7552,0
Fri Nov 03 00:34:17 +0000 2017,0,0,303288552,RVA,701,344,15,16386,False,39739,0
Fri Nov 03 00:35:35 +0000 2017,0,0,774055259379494912,"Sun Valley, Los Angeles",119,295,0,3072,False,2480,0
Fri Nov 03 00:37:46 +0000 2017,0,0,17929479,"New York, USA",7224,569,153,8480,False,7523,0
Fri Nov 03 00:39:36 +0000 2017,0,0,1883717677,"Eloy, AZ",153,231,0,653,False,392,0
