created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Fri Oct 27 18:08:17 +0000 2017,0,5,45577446,"New York, NY",444457,1137,11393,1180,True,61928,-2.5
Mon Jun 05 16:18:22 +0000 2017,0,0,15782832,"Fairfax County, Virginia",1190,2450,44,1086,False,1885,-2.5
Tue Oct 31 01:25:03 +0000 2017,0,11,177681327,"Portland, OR",27417,937,549,51568,True,114,-2.5
Fri Oct 27 04:22:17 +0000 2017,0,6942,177681327,"Portland, OR",27417,937,549,51568,True,114,-2.5
Fri Oct 20 12:59:50 +0000 2017,12,7,7228682,New York,77508,146,2367,26,True,45880,-2.5
Wed Oct 04 14:54:40 +0000 2017,259,78,22523087,"Nashville, Tennessee",18580,588,841,526,True,2346,-2.5
Tue Aug 15 20:59:53 +0000 2017,150,50,22523087,"Nashville, Tennessee",18580,588,841,526,True,2346,-2.5
Sat Aug 12 16:22:44 +0000 2017,568,189,22523087,"Nashville, Tennessee",18580,588,841,526,True,2346,-2.5
Sat Aug 12 16:02:39 +0000 2017,0,8563,22523087,"Nashville, Tennessee",18580,588,841,526,True,2346,-2.5
Thu Jul 02 19:41:47 +0000 2015,2,2,9272612,"Carlsbad, CA",2625,2665,104,2394,False,3857,-2.5
Sun Sep 17 21:21:04 +0000 2017,2671,278,14790966,"Nashville, Tennessee",4687598,37,15439,156,True,1578,-2.5
Wed May 31 01:12:06 +0000 2017,0,1,66988310,South New Jersey,520,934,32,878,False,4834,-2.5
Thu May 11 01:58:14 +0000 2017,0,3,66988310,South New Jersey,520,934,32,878,False,4834,-2.5
Fri May 06 20:23:17 +0000 2011,0,0,211261049,"Portland, OR",55,255,3,46,False,142,-2.5
Sun Aug 13 02:56:55 +0000 2017,6,0,246972341,Chicago/Washington DC,1694,1619,85,1000,True,2607,-2.5
Thu Oct 12 04:47:28 +0000 2017,0,130,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,-2.5
Tue Oct 03 21:10:47 +0000 2017,1,0,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,-2.5
Mon Oct 02 18:49:05 +0000 2017,0,0,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,-2.5
Wed Sep 27 07:19:26 +0000 2017,0,19408,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,-2.5
Sun May 17 16:17:46 +0000 2015,23,16,146491026,New York City,64292,51164,1585,39335,False,15831,-2.5
Fri May 19 23:26:18 +0000 2017,1,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,-2.5
Wed May 17 18:23:24 +0000 2017,0,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,-2.5
Wed Jan 14 01:35:49 +0000 2009,0,0,18946409,Texas,814,167,32,4,False,83,-2.5
Sat Oct 14 16:28:26 +0000 2017,3,0,25629634,"Manhattan, NY",10578,468,122,7648,True,8406,-2.5
Mon Oct 23 20:04:06 +0000 2017,0,4,15766082,"Washington, DC",183692,10167,3359,5707,True,36400,-2.5
Mon Apr 17 14:27:32 +0000 2017,0,5,24500036,"Washington, DC",1039,1751,49,337,True,492,-2.5
Tue Jun 06 15:38:38 +0000 2017,3,0,702633590668922880,"Washington, DC",212,282,9,373,False,240,-2.5
Mon Apr 25 16:43:00 +0000 2016,1,1,702633590668922880,"Washington, DC",212,282,9,373,False,240,-2.5
Mon Dec 19 17:13:10 +0000 2016,8,0,3316189983,"Hollywood, CA",781,1021,14,906,False,669,-2.5
Thu Oct 05 16:56:13 +0000 2017,1,0,15563981,Arizona & N.C.,3931,2886,353,7028,False,22911,-2.5
Mon Oct 23 00:15:05 +0000 2017,0,6282,1874000340,WA,383,424,0,1585,False,1497,-2.5
Wed Oct 04 02:31:25 +0000 2017,0,245878,1874000340,WA,383,424,0,1585,False,1497,-2.5
Wed Apr 19 06:57:14 +0000 2017,0,8725,1874000340,WA,383,424,0,1585,False,1497,-2.5
Thu Nov 02 12:46:31 +0000 2017,0,294,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,-2.5
Thu Jun 30 16:15:06 +0000 2016,0,0,15755270,"Washington, DC",673,858,33,26,False,157,-2.5
Sat Nov 12 03:30:56 +0000 2016,0,11,4508027298,"Ludington, MI",69,92,0,87,False,32,-2.5
Sat Oct 28 22:01:40 +0000 2017,110,44,58503762,"Washington, DC",69086,760,1426,10024,True,27000,-2.5
Sat Oct 28 19:43:42 +0000 2017,85,55,58503762,"Washington, DC",69086,760,1426,10024,True,27000,-2.5
Sat Oct 28 15:47:46 +0000 2017,63,39,58503762,"Washington, DC",69086,760,1426,10024,True,27000,-2.5
Wed Nov 01 15:31:13 +0000 2017,0,0,25934849,"Washington, DC",4126,1195,200,18626,True,36828,-2.5
Fri Oct 27 12:37:38 +0000 2017,1,0,25934849,"Washington, DC",4126,1195,200,18626,True,36828,-2.5
Fri Oct 27 00:29:45 +0000 2017,0,3,57411021,"New York, NY",112533,2928,4650,1616,True,42250,-2.5
Thu Oct 19 14:44:07 +0000 2017,0,0,167518667,New York,93747,1611,2491,6052,True,54296,-2.5
Mon Oct 23 14:04:24 +0000 2017,6,1,589668709,"New York, NY",560,249,4,5251,False,903,-2.5
Mon Aug 21 02:46:13 +0000 2017,5,0,589668709,"New York, NY",560,249,4,5251,False,903,-2.5
Sat Aug 19 18:10:44 +0000 2017,0,53031,589668709,"New York, NY",560,249,4,5251,False,903,-2.5
Fri Jun 02 15:32:14 +0000 2017,1,0,589668709,"New York, NY",560,249,4,5251,False,903,-2.5
Sat Sep 02 03:21:29 +0000 2017,0,8152,2509007959,"Ludington, MI",436,320,1,5653,False,1766,-2.5
Thu Aug 24 14:22:49 +0000 2017,6,2,2509007959,"Ludington, MI",436,320,1,5653,False,1766,-2.5
Sat Jul 15 20:38:44 +0000 2017,11,2,2509007959,"Ludington, MI",436,320,1,5653,False,1766,-2.5
Sun Oct 29 12:38:46 +0000 2017,5,0,95652758,"Washington, D.C.",9826,1757,323,4620,False,13171,-2.5
Wed Nov 01 22:09:09 +0000 2017,1,0,16123235,"Portland, OR",7392,342,275,18163,False,24173,-2.5
Wed Nov 01 21:42:34 +0000 2017,0,4,16123235,"Portland, OR",7392,342,275,18163,False,24173,-2.5
Mon Oct 16 18:51:11 +0000 2017,1,0,16123235,"Portland, OR",7392,342,275,18163,False,24173,-2.5
Wed Oct 11 18:17:40 +0000 2017,0,0,16123235,"Portland, OR",7392,342,275,18163,False,24173,-2.5
Tue Sep 26 15:38:30 +0000 2017,2,0,28062080,"Portland, OR",196,1045,10,2200,False,6121,-2.5
Tue Aug 22 17:38:09 +0000 2017,0,668,15505559,"New York, New York",6600,2416,269,3855,True,3682,-2.5
Fri Aug 18 15:01:26 +0000 2017,7,8,15505559,"New York, New York",6600,2416,269,3855,True,3682,-2.5
Thu Nov 02 19:34:28 +0000 2017,2,0,145773567,"Brooklyn, NY",14822,430,402,54502,False,397,-2.5
Thu Nov 02 14:05:11 +0000 2017,26,4,145773567,"Brooklyn, NY",14822,430,402,54502,False,397,-2.5
Mon Oct 23 16:31:47 +0000 2017,1,0,145773567,"Brooklyn, NY",14822,430,402,54502,False,397,-2.5
Tue Aug 15 15:30:14 +0000 2017,0,2,12655722,Missouri School of Journalism,24618,611,1421,745,False,5902,-2.5
Mon Aug 14 16:54:59 +0000 2017,0,21,12655722,Missouri School of Journalism,24618,611,1421,745,False,5902,-2.5
Mon Aug 14 15:22:09 +0000 2017,62,52,12655722,Missouri School of Journalism,24618,611,1421,745,False,5902,-2.5
Thu Oct 12 23:43:16 +0000 2017,9,6,101474181,"Kalamazoo, MI",6744,396,475,637,False,6139,-2.5
Wed Oct 11 16:30:29 +0000 2017,2,0,101474181,"Kalamazoo, MI",6744,396,475,637,False,6139,-2.5
Tue Oct 10 15:41:19 +0000 2017,0,16,47848003,"Washington, DC",14707,2710,505,4271,True,11922,-2.5
Tue Nov 15 23:47:35 +0000 2016,0,0,16788391,"Washington, D.C.",771,202,18,37,False,1957,-2.5
Mon Sep 12 16:08:54 +0000 2016,12,3,164412502,Washington DC,144739,1032,2931,956,True,12596,-2.5
Sat Aug 12 19:41:23 +0000 2017,238714,77109,939091,"Washington, D.C.",2453323,22,10715,0,True,1330,-2.5
Mon Jun 12 19:52:06 +0000 2017,11203,2018,939091,"Washington, D.C.",2453323,22,10715,0,True,1330,-2.5
Fri Apr 14 18:49:19 +0000 2017,15493,5288,939091,"Washington, D.C.",2453323,22,10715,0,True,1330,-2.5
Fri Sep 22 02:10:45 +0000 2017,31,15,505401571,"New York, NY",45526,47998,49,2,False,1819,-2.5
Sat Sep 16 17:28:06 +0000 2017,39,15,505401571,"New York, NY",45526,47998,49,2,False,1819,-2.5
Wed Nov 01 21:11:29 +0000 2017,108,89,21252618,Washington,93155,2898,2336,74,True,42957,-2.5
Thu Nov 02 11:44:45 +0000 2017,30,18,739973665631047680,"Beverly Grove, CA",6520,6300,54,1586,False,3150,-2.5
Wed Oct 25 22:45:59 +0000 2017,16,2,739973665631047680,"Beverly Grove, CA",6520,6300,54,1586,False,3150,-2.5
Fri Oct 27 02:07:58 +0000 2017,0,5319,456999599,"New Haven, CT",1265,1336,86,8312,False,6137,-2.5
Thu Oct 05 03:46:28 +0000 2017,3,0,456999599,"New Haven, CT",1265,1336,86,8312,False,6137,-2.5
Mon Sep 25 12:28:40 +0000 2017,0,7,227660675,"New York, NY",48011,892,1346,2683,True,14333,-2.5
Thu May 04 15:55:46 +0000 2017,1,0,570848593,"Washington, DC",434,475,15,316,False,715,-2.5
Mon Sep 11 14:56:00 +0000 2017,0,4,216549433,"Washington, D.C.",1341,1459,85,665,True,6613,-2.5
Sun May 21 21:53:02 +0000 2017,0,7033,278299653,"Maryland, USA",1127,890,0,5823,False,24681,-2.5
Wed Aug 16 18:36:19 +0000 2017,0,0,588551910,"Portland, OR",80,174,4,1959,False,634,-2.5
Tue Aug 01 22:26:21 +0000 2017,0,4595,253375098,"Virginia, USA",746,744,0,1148,False,6578,-2.5
Mon Oct 30 16:51:34 +0000 2017,2,3,90216414,"New York, NY",16762,3451,320,1570,True,23753,-2.5
Wed Oct 25 04:14:29 +0000 2017,0,159,1127353603,"Marquette, MI",377,236,1,7356,False,3244,-2.5
Wed Nov 01 21:31:07 +0000 2017,10,5,14717197,NY & DC,268012,583,9324,131,True,120864,-2.5
Tue Oct 31 17:17:49 +0000 2017,5,6,14717197,NY & DC,268012,583,9324,131,True,120864,-2.5
Mon Sep 25 19:46:26 +0000 2017,2,0,3095089653,"California, USA",21234,425,59,2671,False,2734,-2.5
Sun Sep 17 23:46:22 +0000 2017,1,0,3095089653,"California, USA",21234,425,59,2671,False,2734,-2.5
Sat Jun 03 22:43:59 +0000 2017,0,0,47519455,NYC,338,1452,10,594,False,1098,-2.5
Mon May 29 14:54:15 +0000 2017,0,12275,47519455,NYC,338,1452,10,594,False,1098,-2.5
Fri Sep 11 05:38:13 +0000 2015,1,0,71173827,"New York, NY",1272,406,20,197,False,5972,-2.5
Wed Oct 18 14:15:28 +0000 2017,1,0,1108676095,"Austin, TX",1954,5001,42,4702,False,7015,-2.5
Wed Jun 21 00:01:27 +0000 2017,0,148,2909744993,"Washington, DC",466,420,11,362,False,238,-2.5
Wed Mar 29 15:16:33 +0000 2017,0,37,2909744993,"Washington, DC",466,420,11,362,False,238,-2.5
Wed Mar 29 13:35:52 +0000 2017,3,0,2909744993,"Washington, DC",466,420,11,362,False,238,-2.5
Tue Jan 27 19:07:53 +0000 2015,0,10,24335159,"Los Angeles, CA",890,1774,73,855,False,1546,-2.5
Wed Oct 04 13:55:11 +0000 2017,0,0,49808712,"Rutherford, NJ",3665,993,191,22,False,45656,-2.5
Sat Jun 11 17:40:13 +0000 2016,0,1,533452328,"Los Angeles, CA",300,603,4,13196,False,401,-2.5
Tue Mar 14 05:09:22 +0000 2017,8,11,98015030,"Cambridge, MA",66969,156,1625,19,True,646,-2.5
Tue Oct 03 22:32:44 +0000 2017,0,2971,51794812,"Brooklyn, NY",1364,770,42,16850,False,15090,-2.5
Mon Sep 11 15:14:55 +0000 2017,0,2,51794812,"Brooklyn, NY",1364,770,42,16850,False,15090,-2.5
Fri Feb 26 18:22:46 +0000 2016,0,0,33421423,New York,145,389,3,20,False,94,-2.5
Mon Feb 15 13:33:58 +0000 2016,0,0,33421423,New York,145,389,3,20,False,94,-2.5
Thu Nov 02 03:16:40 +0000 2017,38,24,14348157,Here and there. Usually NYC.,99362,791,3334,4916,True,42351,-2.5
Thu Nov 02 02:19:01 +0000 2017,1,2,17906632,"Washington, DC ¡¤ 103.5 FM",263546,910,3031,1431,True,271608,-2.5
Mon Jul 18 01:03:59 +0000 2016,2656,941,325830217,"Washington, D.C.",2710594,133,8862,11,True,3657,-2.5
Sat May 20 02:25:06 +0000 2017,0,3,1102124178,"Ludington, MI",317,108,0,11056,False,2665,-2.5
Wed Oct 18 02:05:39 +0000 2017,1,0,36890646,"Washington, D.C.",63891,2062,1757,533,True,29451,-2.5
Tue Oct 17 20:29:57 +0000 2017,0,235,14276218,"Washington, DC",8485,1436,414,86,True,18275,-2.5
Fri Oct 20 12:34:06 +0000 2017,0,5,22669549,"Atlanta, GA",2656,1477,165,189,True,5317,-2.5
Mon Jul 17 19:40:45 +0000 2017,0,0,22669549,"Atlanta, GA",2656,1477,165,189,True,5317,-2.5
Wed Nov 01 22:44:11 +0000 2017,201,48,28785486,New York City / Worldwide,12603623,738,50413,460,True,185931,-2.5
Wed Oct 25 03:13:12 +0000 2017,56,3,74051281,"New York, NY, USA",56372,2343,1725,476,False,17904,-2.5
Sun Oct 22 02:14:57 +0000 2017,5,0,74051281,"New York, NY, USA",56372,2343,1725,476,False,17904,-2.5
Sat Oct 21 04:30:06 +0000 2017,0,19,74051281,"New York, NY, USA",56372,2343,1725,476,False,17904,-2.5
Sat Apr 08 06:57:32 +0000 2017,2,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Sat Mar 18 03:20:52 +0000 2017,1,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Sun Mar 12 07:09:40 +0000 2017,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Mon Feb 06 03:30:01 +0000 2017,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Mon Feb 06 03:24:30 +0000 2017,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Mon Feb 06 01:28:15 +0000 2017,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Sat Jan 21 13:27:43 +0000 2017,0,37468,609649928,Montana,389,315,0,1086,False,3526,-2.5
Fri Jan 13 07:04:13 +0000 2017,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Thu Jan 12 08:30:58 +0000 2017,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Fri Jan 06 00:01:10 +0000 2017,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Wed Dec 28 03:32:51 +0000 2016,0,0,609649928,Montana,389,315,0,1086,False,3526,-2.5
Thu Aug 28 14:03:43 +0000 2014,0,0,2555236508,"Seattle, WA",28,219,0,7,False,65,-2.5
Fri Oct 13 09:59:37 +0000 2017,16,11,86640232,"New York, NY",130291,61,4321,67,False,4555,-2.5
Mon Jul 17 17:14:37 +0000 2017,6,2,316872894,"New Haven, CT",470,381,11,733,False,308,-2.5
Mon Sep 15 03:18:00 +0000 2014,0,4,21057743,"Denver, Colorado",50718,46360,801,8,False,4632,-2.5
Sun Sep 24 13:49:21 +0000 2017,81,30,297067961,"Washington, DC",49112,1424,1809,407,True,6142,-2.5
Fri Oct 06 18:26:32 +0000 2017,0,386010,87215923,"Cambridge, MA",3315,765,229,676,True,9913,-2.5
Thu Aug 31 14:48:30 +0000 2017,0,87,87215923,"Cambridge, MA",3315,765,229,676,True,9913,-2.5
Sun Jul 23 17:49:44 +0000 2017,1,0,87215923,"Cambridge, MA",3315,765,229,676,True,9913,-2.5
Wed Nov 01 21:41:00 +0000 2017,0,213,1759181,"Austin, TX",22296,8631,889,79227,False,164816,-2.5
Mon Oct 09 19:22:04 +0000 2017,10,0,2675185974,"Grand Rapids, MI",262,201,0,6581,False,1689,-2.5
Tue Sep 26 13:24:34 +0000 2017,0,5374,2675185974,"Grand Rapids, MI",262,201,0,6581,False,1689,-2.5
Tue Oct 10 22:00:29 +0000 2017,123,57,146252766,"Washington, D.C.",21466,1009,692,4084,True,15422,-2.5
Thu Aug 02 04:20:38 +0000 2012,0,0,29941223,"Herriman, UT",1730,1054,103,10,False,2829,-2.5
Sat Jun 23 02:19:37 +0000 2012,0,1,29941223,"Herriman, UT",1730,1054,103,10,False,2829,-2.5
Fri Mar 04 16:51:18 +0000 2011,0,0,15169467,"Austin, TX",2223,2256,178,6,False,1837,-2.5
Sat Apr 29 02:46:57 +0000 2017,0,6,428639957,"Los Angeles, CA",14889,10136,28,634,False,1992,-2.5
Mon Jun 05 11:10:21 +0000 2017,0,1,3167846185,"Darby, MT",445,176,12,518,False,180,-2.5
Fri Oct 06 06:13:23 +0000 2017,0,564,19224439,New York,438246,440,10829,8,True,12717,-2.5
Sat Oct 15 00:34:39 +0000 2016,0,0,739272169130237952,"Ludington, MI",774,943,3,1649,False,254,-2.5
Thu Nov 02 19:28:12 +0000 2017,272,145,1383272101,"Edina, MN and Washington, DC",165321,522,2258,14110,True,15421,-2.5
Sat Oct 14 17:55:30 +0000 2017,25,12,156016878,"Washington, DC",69358,1299,2259,4671,True,16779,-2.5
Sat Dec 17 06:39:05 +0000 2016,0,24703,3669467715,"Michigan, USA",68,107,0,177,False,135,-2.5
Tue Sep 13 08:18:35 +0000 2016,0,4457,3669467715,"Michigan, USA",68,107,0,177,False,135,-2.5
Wed Dec 30 18:08:14 +0000 2015,0,1,3669467715,"Michigan, USA",68,107,0,177,False,135,-2.5
Mon Sep 04 13:00:25 +0000 2017,0,92234,19721585,"Washington, DC",1871,1672,94,3770,True,16152,-2.5
Wed Sep 25 19:52:42 +0000 2013,233,106,33514869,"New York, NY ",1704406,22,9925,5,True,545,-2.5
Fri Sep 14 15:59:20 +0000 2012,4,9,33514869,"New York, NY ",1704406,22,9925,5,True,545,-2.5
Mon Oct 16 22:58:01 +0000 2017,4,1,21768766,"Washington, DC",58960,920,1767,210,True,16863,-2.5
Thu Dec 29 00:20:45 +0000 2011,0,0,26682014,New York New York,499,293,5,1,False,3810,-2.5
Thu Oct 27 06:25:18 +0000 2011,0,0,26682014,New York New York,499,293,5,1,False,3810,-2.5
Thu Oct 27 05:32:05 +0000 2011,0,0,26682014,New York New York,499,293,5,1,False,3810,-2.5
Mon Oct 10 03:47:05 +0000 2011,0,0,26682014,New York New York,499,293,5,1,False,3810,-2.5
Wed Nov 01 21:27:02 +0000 2017,0,213,807095,New York City,40010665,885,192507,15740,True,297608,-2.5
Mon Oct 09 05:25:20 +0000 2017,0,3370,318154870,"Maryland, USA",521,516,1,5396,False,19672,-2.5
Fri Jan 27 17:23:09 +0000 2012,0,0,26069698,"Pasadena, TX",54,41,0,1,False,249,-2.5
Fri Jan 06 18:23:41 +0000 2012,0,0,26069698,"Pasadena, TX",54,41,0,1,False,249,-2.5
Fri Oct 06 14:18:32 +0000 2017,1,0,312898300,"New York, NY",2350,1567,199,4630,False,7414,-2.5
Tue Aug 22 19:28:14 +0000 2017,61,2,312898300,"New York, NY",2350,1567,199,4630,False,7414,-2.5
Sun Oct 29 12:23:00 +0000 2017,8,2,242944499,"Washington, D.C.",13043,2198,799,3045,True,31496,-2.5
Sun Oct 22 03:24:51 +0000 2017,13,3,242944499,"Washington, D.C.",13043,2198,799,3045,True,31496,-2.5
Wed Oct 18 17:43:55 +0000 2017,0,0,242944499,"Washington, D.C.",13043,2198,799,3045,True,31496,-2.5
Sun Sep 24 12:54:52 +0000 2017,1160,373,426044697,"New York, NY",480316,407,1307,26016,True,6023,-2.5
Wed Jul 12 12:07:28 +0000 2017,159,120,426044697,"New York, NY",480316,407,1307,26016,True,6023,-2.5
Mon Jul 24 17:57:09 +0000 2017,0,14192,1893877897,"Chapel Hill, NC",2344,362,61,1240,False,1440,-2.5
Fri Nov 18 18:18:25 +0000 2016,73,27,1893877897,"Chapel Hill, NC",2344,362,61,1240,False,1440,-2.5
Fri May 13 18:06:31 +0000 2016,0,2,730750905121964033,"Tallulah, LA",164,419,0,34,False,32,-2.5
Wed Nov 01 19:11:59 +0000 2017,47,15,407261533,"Malibu, CA",1911234,114773,3383,14463,False,34278,-2.5
Sun Oct 29 18:52:01 +0000 2017,532,76,407261533,"Malibu, CA",1911234,114773,3383,14463,False,34278,-2.5
Thu Oct 26 22:33:00 +0000 2017,2003,587,407261533,"Malibu, CA",1911234,114773,3383,14463,False,34278,-2.5
