created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Wed Sep 16 12:15:52 +0000 2015,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,1
Mon Aug 11 13:31:17 +0000 2014,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,1
Sat Aug 09 13:18:04 +0000 2014,0,3,35469468,"Portland, Oregon",2078,299,200,0,False,6696,1
Mon Apr 30 19:25:11 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,1
Tue Oct 24 19:01:26 +0000 2017,8,5,121812725,Virginia,23632,958,1104,213,True,1475,1
Fri Sep 22 15:50:20 +0000 2017,4,4,121812725,Virginia,23632,958,1104,213,True,1475,1
Fri Jun 16 18:01:24 +0000 2017,13,5,121812725,Virginia,23632,958,1104,213,True,1475,1
Thu Jun 08 21:10:04 +0000 2017,7,3,121812725,Virginia,23632,958,1104,213,True,1475,1
Wed May 17 21:30:21 +0000 2017,12,3,121812725,Virginia,23632,958,1104,213,True,1475,1
Fri Jan 20 19:15:28 +0000 2017,8,5,121812725,Virginia,23632,958,1104,213,True,1475,1
Fri Jul 14 18:46:01 +0000 2017,0,0,721279920,Charlotte NC,594,1344,21,454,False,1093,1
Mon May 08 13:10:04 +0000 2017,0,0,721279920,Charlotte NC,594,1344,21,454,False,1093,1
Tue Oct 10 17:31:03 +0000 2017,0,1,15782832,"Fairfax County, Virginia",1190,2450,44,1086,False,1885,1
Mon May 08 19:51:10 +0000 2017,0,0,15782832,"Fairfax County, Virginia",1190,2450,44,1086,False,1885,1
Tue Oct 24 18:31:32 +0000 2017,1,0,7228682,New York,77508,146,2367,26,True,45880,1
Tue Jul 18 17:47:32 +0000 2017,0,2,1433331763,Washington DC,1449,178,82,150,False,1902,1
Tue Oct 31 14:47:26 +0000 2017,1,0,2568461,"Iowa City, IA",18042,3751,938,6516,True,20985,1
Sat Oct 28 22:49:42 +0000 2017,3,0,2568461,"Iowa City, IA",18042,3751,938,6516,True,20985,1
Tue Jul 11 10:51:34 +0000 2017,0,0,83661777,South Florida,439,765,18,431,False,1434,1
Sun May 14 17:31:35 +0000 2017,0,0,83661777,South Florida,439,765,18,431,False,1434,1
Wed Oct 25 15:27:26 +0000 2017,214,84,22523087,"Nashville, Tennessee",18580,588,841,526,True,2346,1
Tue Oct 17 15:27:37 +0000 2017,1,0,182815759,"Washington, D.C.",12081,3682,477,8850,False,16108,1
Sat Sep 16 11:31:14 +0000 2017,0,26,98957204,"Hartford, CT",8516,4821,317,794,False,21527,1
Thu Nov 02 02:33:07 +0000 2017,149,14,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Thu Nov 02 01:48:45 +0000 2017,354,24,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Sun Oct 29 11:51:17 +0000 2017,154,29,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Fri Oct 20 22:11:24 +0000 2017,0,0,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Sat Oct 14 18:32:27 +0000 2017,39,4,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Fri Oct 13 19:07:13 +0000 2017,0,27,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Sun Oct 08 11:45:15 +0000 2017,85,8,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Fri Oct 06 20:20:54 +0000 2017,288,32,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,1
Tue Apr 12 23:16:13 +0000 2016,0,0,9272612,"Carlsbad, CA",2625,2665,104,2394,False,3857,1
Tue May 17 17:14:13 +0000 2016,0,16,70422990,"Nashville, TN",198574,160,980,43,True,3091,1
Tue May 10 15:29:55 +0000 2016,0,19,70422990,"Nashville, TN",198574,160,980,43,True,3091,1
Sat Oct 28 02:46:53 +0000 2017,0,27660,2223157392,"Washington, DC",67112,1630,1403,1577,True,26578,1
Fri Oct 13 14:34:04 +0000 2017,0,0,14929834,New York,7439,1516,858,747,False,16415,1
Thu Nov 02 13:37:12 +0000 2017,666,46,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,1
Tue Oct 31 17:55:34 +0000 2017,341,32,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,1
Mon Oct 30 20:35:41 +0000 2017,415,32,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,1
Wed Oct 25 19:47:48 +0000 2017,289,31,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,1
Wed Oct 25 13:46:28 +0000 2017,647,48,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,1
Fri Oct 20 12:22:23 +0000 2017,851,47,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,1
Thu Oct 26 15:05:55 +0000 2017,21,6,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,1
Thu Oct 19 17:57:29 +0000 2017,12,6,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,1
Fri Oct 13 19:39:22 +0000 2017,2,1,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,1
Wed Oct 11 18:20:07 +0000 2017,2,2,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,1
Wed Sep 06 22:46:32 +0000 2017,3,2,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,1
Wed Jul 26 17:49:14 +0000 2017,2,0,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,1
