created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Sep 21 01:03:46 +0000 2017,31,29,45577446,"New York, NY",444457,1137,11393,1180,True,61928,-1
Tue Oct 24 22:02:32 +0000 2017,0,7,40116885,"New York, NY",143632,672,3179,919,True,20921,-1
Thu Oct 26 21:23:28 +0000 2017,0,3157,2568461,"Iowa City, IA",18042,3751,938,6516,True,20985,-1
Sat Aug 12 23:25:51 +0000 2017,0,1676,1530794420,"Washington, DC",471,877,26,162,False,2041,-1
Fri Sep 29 14:13:16 +0000 2017,0,6,98957204,"Hartford, CT",8516,4821,317,794,False,21527,-1
Fri Oct 06 22:34:51 +0000 2017,0,10933,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,-1
Tue Oct 31 13:43:38 +0000 2017,189,52,2223157392,"Washington, DC",67112,1630,1403,1577,True,26578,-1
Fri Oct 20 12:23:22 +0000 2017,0,6126,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,-1
Sun Aug 13 03:34:35 +0000 2017,0,23771,246972341,Chicago/Washington DC,1694,1619,85,1000,True,2607,-1
Mon Jan 09 23:05:47 +0000 2012,0,0,437236482,"Portland, OR",464,1720,1,2,False,88,-1
Mon Jun 19 16:44:02 +0000 2017,0,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,-1
Wed Oct 25 14:16:49 +0000 2017,6,5,15766082,"Washington, DC",183692,10167,3359,5707,True,36400,-1
Sun Oct 22 12:07:41 +0000 2017,0,0,15563981,Arizona & N.C.,3931,2886,353,7028,False,22911,-1
Thu Nov 02 12:48:17 +0000 2017,4,4,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,-1
Thu Nov 02 06:33:33 +0000 2017,0,3600,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,-1
Sat Sep 09 21:34:40 +0000 2017,4405,478,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,-1
Thu Oct 12 16:23:51 +0000 2017,1,0,118173606,Washington DC,4728,925,253,4122,True,21175,-1
Sun Sep 24 15:40:48 +0000 2017,0,0,118173606,Washington DC,4728,925,253,4122,True,21175,-1
Thu Nov 02 18:55:13 +0000 2017,14,14,58503762,"Washington, DC",69086,760,1426,10024,True,27000,-1
Thu Oct 26 13:32:06 +0000 2017,0,235,25934849,"Washington, DC",4126,1195,200,18626,True,36828,-1
Wed Nov 01 19:56:14 +0000 2017,113,57,15675138,"Washington, D.C.",1828051,8703,13209,693,True,31406,-1
Tue Jun 27 20:38:10 +0000 2017,0,2,233407954,"Washington, D.C.",1175,1166,61,1122,True,2894,-1
Wed Jun 07 17:34:50 +0000 2017,0,3560,589668709,"New York, NY",560,249,4,5251,False,903,-1
Thu Oct 26 15:54:18 +0000 2017,218,17,16123235,"Portland, OR",7392,342,275,18163,False,24173,-1
Sat Oct 01 16:06:00 +0000 2016,0,471,813286,"Washington, DC",96505074,626921,227211,10,True,15474,-1
Fri Sep 30 21:32:41 +0000 2016,8590,2243,813286,"Washington, DC",96505074,626921,227211,10,True,15474,-1
Thu Sep 29 19:41:04 +0000 2016,2815,674,813286,"Washington, DC",96505074,626921,227211,10,True,15474,-1
Thu Sep 29 15:12:58 +0000 2016,0,281,813286,"Washington, DC",96505074,626921,227211,10,True,15474,-1
Fri Oct 20 14:42:26 +0000 2017,8,1,145773567,"Brooklyn, NY",14822,430,402,54502,False,397,-1
Fri Oct 27 18:48:43 +0000 2017,0,646,311710351,"New York, NY",103,259,1,307,False,23,-1
Tue Oct 31 01:18:09 +0000 2017,18,0,218975278,Washington DC,110084,702,3005,16632,True,64718,-1
Mon Oct 30 14:08:20 +0000 2017,141,69,218975278,Washington DC,110084,702,3005,16632,True,64718,-1
Thu Jul 20 21:42:43 +0000 2017,3,0,16788391,"Washington, D.C.",771,202,18,37,False,1957,-1
Fri Mar 24 23:38:57 +0000 2017,47879,10824,939091,"Washington, D.C.",2453323,22,10715,0,True,1330,-1
Fri Oct 27 00:39:28 +0000 2017,0,2,13168412,"Washington, DC",6257,1742,208,49192,True,40735,-1
Thu Oct 26 17:44:20 +0000 2017,5,2,13168412,"Washington, DC",6257,1742,208,49192,True,40735,-1
Tue Oct 10 05:20:38 +0000 2017,0,0,36607433,"Ogden, UT",479,704,20,16666,False,4800,-1
Thu Jun 22 04:16:58 +0000 2017,21,0,1127353603,"Marquette, MI",377,236,1,7356,False,3244,-1
Wed Nov 01 17:00:58 +0000 2017,32,7,14717197,NY & DC,268012,583,9324,131,True,120864,-1
Wed Nov 01 13:33:03 +0000 2017,0,7,14717197,NY & DC,268012,583,9324,131,True,120864,-1
Wed Nov 01 13:18:20 +0000 2017,0,17,14717197,NY & DC,268012,583,9324,131,True,120864,-1
Mon Oct 29 12:30:45 +0000 2012,442,1279,409486555,"Washington, DC",9406623,15,21057,3,True,822,-1
Sun Oct 22 06:47:31 +0000 2017,19,1,3095089653,"California, USA",21234,425,59,2671,False,2734,-1
Thu Jun 29 21:12:40 +0000 2017,0,81459,19960016,"Portland, OR ",55,362,2,774,False,528,-1
