created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Sat Aug 26 01:58:55 +0000 2017,6,13,45577446,"New York, NY",444457,1137,11393,1180,True,61928,-2
Mon Oct 16 16:23:45 +0000 2017,0,33,40116885,"New York, NY",143632,672,3179,919,True,20921,-2
Sun Jun 18 19:18:11 +0000 2017,0,0,15782832,"Fairfax County, Virginia",1190,2450,44,1086,False,1885,-2
Fri Oct 20 23:18:39 +0000 2017,0,30,1433331763,Washington DC,1449,178,82,150,False,1902,-2
Fri Sep 22 03:08:40 +0000 2017,0,61,98957204,"Hartford, CT",8516,4821,317,794,False,21527,-2
Sun Oct 29 13:20:38 +0000 2017,410,51,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,-2
Thu Oct 26 18:15:50 +0000 2017,0,432,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,-2
Sun Oct 29 15:58:12 +0000 2017,0,128,2223157392,"Washington, DC",67112,1630,1403,1577,True,26578,-2
Sat Nov 26 16:04:26 +0000 2011,0,0,18539707,"Seattle, WA",151,241,5,1,False,519,-2
Wed Oct 25 14:27:28 +0000 2017,25,2,546135718,Washington DC,128386,262,3548,41,True,25552,-2
Mon Jan 31 19:36:31 +0000 2011,0,0,211261049,"Portland, OR",55,255,3,46,False,142,-2
Thu Oct 12 01:43:22 +0000 2017,3,2,246972341,Chicago/Washington DC,1694,1619,85,1000,True,2607,-2
Mon Sep 11 01:25:26 +0000 2017,0,4722,246972341,Chicago/Washington DC,1694,1619,85,1000,True,2607,-2
Fri Oct 13 12:04:20 +0000 2017,2,0,44958738,"Washington, D.C.",20528,659,994,1637,True,15288,-2
Thu Jul 20 12:55:33 +0000 2017,2,1,19206876,"Washington, DC",17807,1166,656,35,False,2295,-2
Sat Sep 09 20:30:09 +0000 2017,13,0,794015766,North Carolina,1403,1670,96,1705,False,1475,-2
Fri Sep 15 23:46:37 +0000 2017,0,1,702633590668922880,"Washington, DC",212,282,9,373,False,240,-2
Wed Feb 05 03:29:52 +0000 2014,1,1,437775957,"Richmond, VA",7394,2718,71,14,False,5239,-2
Tue Oct 10 21:12:20 +0000 2017,0,943,15563981,Arizona & N.C.,3931,2886,353,7028,False,22911,-2
Wed May 31 11:42:42 +0000 2017,1,0,17020255,"Washington, DC",629,1338,20,796,False,2472,-2
Wed Oct 04 12:04:32 +0000 2017,3,7,141279172,"New York, NY",9119,619,415,11,True,5715,-2
Thu Nov 02 13:03:55 +0000 2017,0,1360,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,-2
Mon Oct 02 06:54:05 +0000 2017,6142,1011,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,-2
Mon Oct 30 03:31:14 +0000 2017,0,164,93293716,New York sometimes,11366,2038,460,383,True,24441,-2
Sun Oct 29 01:40:08 +0000 2017,4,0,118173606,Washington DC,4728,925,253,4122,True,21175,-2
Mon Oct 30 13:00:39 +0000 2017,0,7,25934849,"Washington, DC",4126,1195,200,18626,True,36828,-2
Fri Oct 20 16:54:54 +0000 2017,0,0,167518667,New York,93747,1611,2491,6052,True,54296,-2
Wed Oct 11 18:01:26 +0000 2017,34,31,167518667,New York,93747,1611,2491,6052,True,54296,-2
Sat Apr 22 20:09:39 +0000 2017,1,2,262845641,Utah State Capitol Complex,785,78,61,18,False,2958,-2
Thu Jul 27 16:21:49 +0000 2017,0,2,589668709,"New York, NY",560,249,4,5251,False,903,-2
