created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Tue Oct 31 21:02:11 +0000 2017,0,15,45577446,"New York, NY",444457,1137,11393,1180,True,61928,3
Mon Oct 09 02:16:16 +0000 2017,0,16,45577446,"New York, NY",444457,1137,11393,1180,True,61928,3
Tue Sep 19 21:35:59 +0000 2017,0,1,45577446,"New York, NY",444457,1137,11393,1180,True,61928,3
Tue Sep 05 18:28:54 +0000 2017,10,4,45577446,"New York, NY",444457,1137,11393,1180,True,61928,3
Mon Aug 28 00:46:49 +0000 2017,27,15,45577446,"New York, NY",444457,1137,11393,1180,True,61928,3
Thu Sep 17 01:36:39 +0000 2015,0,2,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Fri Aug 08 12:30:12 +0000 2014,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Thu Aug 07 22:20:44 +0000 2014,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Fri Aug 01 18:15:16 +0000 2014,1,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Fri Aug 01 12:50:22 +0000 2014,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Wed Jul 23 18:05:34 +0000 2014,1,1,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Wed Jul 23 00:28:13 +0000 2014,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Wed Jul 23 00:08:21 +0000 2014,1,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Thu Apr 18 22:43:14 +0000 2013,0,1,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Thu Apr 18 21:52:18 +0000 2013,2,1,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Thu Dec 06 19:15:52 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Thu Dec 06 14:14:46 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Fri Nov 02 02:39:14 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Fri Nov 02 02:38:25 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Mon Oct 01 12:45:29 +0000 2012,3,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Tue Jun 19 20:28:17 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Tue May 01 01:48:42 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Sun Apr 29 15:59:07 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Fri Apr 27 15:40:50 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Tue Apr 17 21:53:02 +0000 2012,0,2,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Tue Apr 17 21:50:07 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Mon Apr 16 23:00:15 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
Mon Apr 16 19:39:35 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,3
