created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Sep 14 14:12:33 +0000 2017,81,40,45577446,"New York, NY",444457,1137,11393,1180,True,61928,2
Mon Apr 30 17:39:44 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,2
Wed Jan 25 22:24:34 +0000 2017,0,0,721279920,Charlotte NC,594,1344,21,454,False,1093,2
Wed Nov 01 20:14:58 +0000 2017,30,16,40116885,"New York, NY",143632,672,3179,919,True,20921,2
Tue May 30 16:18:24 +0000 2017,0,0,15782832,"Fairfax County, Virginia",1190,2450,44,1086,False,1885,2
Tue Oct 24 16:05:30 +0000 2017,1,1,7228682,New York,77508,146,2367,26,True,45880,2
Wed Sep 06 18:35:22 +0000 2017,0,19,1433331763,Washington DC,1449,178,82,150,False,1902,2
Wed Nov 01 17:52:12 +0000 2017,22,23,2568461,"Iowa City, IA",18042,3751,938,6516,True,20985,2
Mon Oct 30 14:23:07 +0000 2017,0,43,2568461,"Iowa City, IA",18042,3751,938,6516,True,20985,2
Mon Mar 20 01:47:58 +0000 2017,0,0,83661777,South Florida,439,765,18,431,False,1434,2
Tue Jul 25 21:34:38 +0000 2017,161,52,22523087,"Nashville, Tennessee",18580,588,841,526,True,2346,2
Sun Sep 24 21:22:04 +0000 2017,0,25,14929834,New York,7439,1516,858,747,False,16415,2
Fri Oct 27 19:24:34 +0000 2017,0,68,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,2
Sat Feb 11 18:45:55 +0000 2017,1069,176,14790966,"Nashville, Tennessee",4687598,37,15439,156,True,1578,2
Fri Jan 21 18:05:42 +0000 2011,0,0,16345832,Washington DC,246,157,16,12,False,183,2
Sat Jun 11 23:18:46 +0000 2011,0,0,18539707,"Seattle, WA",151,241,5,1,False,519,2
Tue Nov 16 00:38:11 +0000 2010,0,0,211261049,"Portland, OR",55,255,3,46,False,142,2
Thu Oct 26 18:57:46 +0000 2017,2,1,20268270,"Minneapolis, MN",45744,17,1356,1,True,3659,2
Thu Nov 02 03:20:30 +0000 2017,0,0,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,2
Thu Oct 26 19:51:50 +0000 2017,2,0,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,2
Wed Oct 18 05:27:29 +0000 2017,0,76194,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,2
Thu Oct 05 05:04:54 +0000 2017,0,22414,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,2
Wed Nov 01 22:00:42 +0000 2017,0,0,570266167,"Washington, DC",140313,133546,2369,16077,False,11452,2
Thu Oct 05 16:42:08 +0000 2017,33,4,25629634,"Manhattan, NY",10578,468,122,7648,True,8406,2
Fri Sep 15 03:14:17 +0000 2017,14,0,25629634,"Manhattan, NY",10578,468,122,7648,True,8406,2
