created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Thu Sep 28 11:52:11 +0000 2017,0,48,45577446,"New York, NY",444457,1137,11393,1180,True,61928,-3
Tue Aug 29 02:17:12 +0000 2017,16,22,45577446,"New York, NY",444457,1137,11393,1180,True,61928,-3
Sun Nov 17 23:41:18 +0000 2013,2,3,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Thu Nov 14 13:45:23 +0000 2013,1,2,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Thu Nov 14 00:51:42 +0000 2013,0,2,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Wed Nov 13 23:48:17 +0000 2013,2,4,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Wed Nov 13 23:31:59 +0000 2013,1,8,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Thu Apr 18 22:50:52 +0000 2013,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Fri Apr 20 19:28:09 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Wed Apr 18 19:20:06 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Mon Apr 16 13:07:11 +0000 2012,0,0,35469468,"Portland, Oregon",2078,299,200,0,False,6696,-3
Wed Apr 19 15:50:28 +0000 2017,7,1,121812725,Virginia,23632,958,1104,213,True,1475,-3
Mon May 29 21:05:40 +0000 2017,1,1,721279920,Charlotte NC,594,1344,21,454,False,1093,-3
Fri Oct 20 18:11:09 +0000 2017,0,578,40116885,"New York, NY",143632,672,3179,919,True,20921,-3
Wed Oct 18 00:50:50 +0000 2017,7,0,40116885,"New York, NY",143632,672,3179,919,True,20921,-3
Thu Nov 02 14:30:15 +0000 2017,0,0,15782832,"Fairfax County, Virginia",1190,2450,44,1086,False,1885,-3
Thu Nov 02 14:29:48 +0000 2017,0,0,15782832,"Fairfax County, Virginia",1190,2450,44,1086,False,1885,-3
Sat Oct 28 01:07:57 +0000 2017,0,5,177681327,"Portland, OR",27417,937,549,51568,True,114,-3
Wed Oct 25 20:26:48 +0000 2017,3,10,7228682,New York,77508,146,2367,26,True,45880,-3
Tue Oct 17 15:40:14 +0000 2017,3,3,7228682,New York,77508,146,2367,26,True,45880,-3
