created_at,favorite_count,retweet_count,id_str,location,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,label
Wed Oct 18 16:40:39 +0000 2017,0,245,40116885,"New York, NY",143632,672,3179,919,True,20921,0
Wed Oct 25 21:25:31 +0000 2017,44,3,18713,"Oregon, USA",41135,222,2507,7949,False,50,0
Thu Nov 02 18:06:14 +0000 2017,0,47,177681327,"Portland, OR",27417,937,549,51568,True,114,0
Fri Oct 27 21:13:33 +0000 2017,0,5,177681327,"Portland, OR",27417,937,549,51568,True,114,0
Tue Oct 31 14:39:14 +0000 2017,43,7,2568461,"Iowa City, IA",18042,3751,938,6516,True,20985,0
Thu Oct 26 17:42:44 +0000 2017,0,663,2568461,"Iowa City, IA",18042,3751,938,6516,True,20985,0
Sat Apr 15 04:25:30 +0000 2017,0,0,83661777,South Florida,439,765,18,431,False,1434,0
Mon Oct 02 11:12:30 +0000 2017,0,75277,98957204,"Hartford, CT",8516,4821,317,794,False,21527,0
Fri Sep 22 02:37:34 +0000 2017,0,2,98957204,"Hartford, CT",8516,4821,317,794,False,21527,0
Sat Oct 28 19:36:52 +0000 2017,228,35,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,0
Tue Oct 03 17:01:56 +0000 2017,4711,1047,50325797,"Washington, DC",1890892,1781,16280,130,True,47807,0
Wed Jan 11 16:43:12 +0000 2017,0,32,70422990,"Nashville, TN",198574,160,980,43,True,3091,0
Fri Jun 10 16:53:36 +0000 2016,0,19,70422990,"Nashville, TN",198574,160,980,43,True,3091,0
Tue Oct 31 13:43:54 +0000 2017,0,14355,2223157392,"Washington, DC",67112,1630,1403,1577,True,26578,0
Mon Oct 30 16:31:05 +0000 2017,0,1450,2223157392,"Washington, DC",67112,1630,1403,1577,True,26578,0
Sun Oct 29 15:56:04 +0000 2017,0,691,2223157392,"Washington, DC",67112,1630,1403,1577,True,26578,0
Thu Oct 26 20:46:26 +0000 2017,0,663,14929834,New York,7439,1516,858,747,False,16415,0
Wed Sep 27 19:23:36 +0000 2017,0,0,14929834,New York,7439,1516,858,747,False,16415,0
Tue Oct 31 23:03:11 +0000 2017,0,26042,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,0
Mon Oct 30 20:51:35 +0000 2017,0,4,121574367,"Washington, D.C.",86553,2008,659,12315,True,12513,0
Thu Oct 05 15:34:23 +0000 2017,29,12,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,0
Sun Aug 20 17:34:37 +0000 2017,0,1,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,0
Thu Aug 17 19:02:07 +0000 2017,0,4,211530910,Eastern/Southeastern Ohio,28622,831,846,89,True,4881,0
Fri Mar 16 02:31:03 +0000 2012,0,0,18539707,"Seattle, WA",151,241,5,1,False,519,0
Tue Dec 20 19:00:43 +0000 2011,0,0,18539707,"Seattle, WA",151,241,5,1,False,519,0
Thu Nov 11 12:35:52 +0000 2010,0,0,18539707,"Seattle, WA",151,241,5,1,False,519,0
Tue Oct 17 01:59:55 +0000 2017,172,53,546135718,Washington DC,128386,262,3548,41,True,25552,0
Sat Apr 16 19:22:54 +0000 2011,0,0,211261049,"Portland, OR",55,255,3,46,False,142,0
Tue Oct 24 15:57:46 +0000 2017,0,8636,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,0
Mon Oct 23 22:40:50 +0000 2017,0,0,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,0
Sun Oct 15 15:00:56 +0000 2017,0,0,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,0
Sat Oct 14 07:20:01 +0000 2017,1,0,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,0
Wed Oct 11 00:47:36 +0000 2017,0,1575,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,0
Sun Oct 08 22:41:06 +0000 2017,3,1,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,0
Tue Sep 26 16:12:19 +0000 2017,0,5,251502918,Peoria Illinois,48736,48880,58,22745,False,184364,0
Sat Dec 24 08:29:43 +0000 2011,0,0,437236482,"Portland, OR",464,1720,1,2,False,88,0
Thu Dec 22 12:29:38 +0000 2011,0,0,437236482,"Portland, OR",464,1720,1,2,False,88,0
Wed Jul 05 16:31:02 +0000 2017,0,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,0
Thu Jun 15 17:55:16 +0000 2017,1,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,0
Sat May 27 21:49:59 +0000 2017,0,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,0
Thu May 11 17:52:40 +0000 2017,0,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,0
Sat Apr 29 16:45:43 +0000 2017,3,0,20014221,"Mountain View, CA",1007,296,41,261,False,4654,0
Tue Oct 24 02:24:02 +0000 2017,0,0,25629634,"Manhattan, NY",10578,468,122,7648,True,8406,0
Sat Jul 01 14:03:52 +0000 2017,3,2,794015766,North Carolina,1403,1670,96,1705,False,1475,0
Tue May 03 18:43:48 +0000 2016,0,1,702633590668922880,"Washington, DC",212,282,9,373,False,240,0
Wed Oct 04 23:10:36 +0000 2017,0,0,15563981,Arizona & N.C.,3931,2886,353,7028,False,22911,0
Sun Sep 10 12:53:26 +0000 2017,0,0,17020255,"Washington, DC",629,1338,20,796,False,2472,0
Wed Aug 09 17:15:13 +0000 2017,0,0,17020255,"Washington, DC",629,1338,20,796,False,2472,0
Fri Oct 27 03:48:26 +0000 2017,0,51,11178672,"Hudson Valley, NY, USA",81240,7854,4249,12665,True,41537,0
Wed Mar 15 01:04:36 +0000 2017,0,0,836403501588746241,"Montgomery, AL",16,182,0,30,False,108,0
Wed Mar 08 01:53:41 +0000 2017,0,1,836403501588746241,"Montgomery, AL",16,182,0,30,False,108,0
Wed Mar 08 01:34:11 +0000 2017,1,0,836403501588746241,"Montgomery, AL",16,182,0,30,False,108,0
Tue Mar 07 02:26:39 +0000 2017,1,0,836403501588746241,"Montgomery, AL",16,182,0,30,False,108,0
Wed Jun 14 12:03:03 +0000 2017,0,368,24926288,"Washington, DC",11682,4503,476,10,True,5433,0
Wed Aug 23 15:12:49 +0000 2017,0,15,141279172,"New York, NY",9119,619,415,11,True,5715,0
Thu Nov 02 17:40:21 +0000 2017,1,0,762603296,"Eden Prairie, MN",43783,28871,1277,594,False,124028,0
Sat Jun 24 18:33:46 +0000 2017,0,1211,1874000340,WA,383,424,0,1585,False,1497,0
Sun Apr 09 04:09:03 +0000 2017,0,77,1874000340,WA,383,424,0,1585,False,1497,0
Tue Mar 21 21:36:55 +0000 2017,0,4358,1874000340,WA,383,424,0,1585,False,1497,0
Thu Nov 02 12:50:46 +0000 2017,0,2,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,0
Thu Nov 02 12:49:00 +0000 2017,0,12296,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,0
Thu Nov 02 12:48:51 +0000 2017,16,5,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,0
Thu Nov 02 12:45:12 +0000 2017,0,14,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,0
Thu Nov 02 12:41:29 +0000 2017,9,4,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,0
Thu Nov 02 12:29:26 +0000 2017,0,4,197823320,"Las Vegas, NV",19955,1830,730,12392,False,815079,0
Thu Sep 07 00:46:20 +0000 2017,25,7,28113052,"New York, NY",12550,2471,590,1622,True,5951,0
Thu Oct 05 18:44:29 +0000 2017,2772,200,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Thu Sep 28 18:40:53 +0000 2017,764,46,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Thu Sep 28 00:09:36 +0000 2017,330,26,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Wed Sep 27 23:05:11 +0000 2017,354,31,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Wed Sep 27 22:58:44 +0000 2017,156,13,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Wed Sep 20 21:48:06 +0000 2017,118,6,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Wed Sep 13 23:00:19 +0000 2017,2980,246,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Thu Aug 31 19:09:29 +0000 2017,352,31,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Thu Aug 24 21:52:03 +0000 2017,3080,381,39656682,"Los Angeles, CA",548059,909,2321,32006,True,34653,0
Sun Mar 14 03:57:39 +0000 2010,0,17,14683000,"San Francisco, CA",1482,457,19,0,False,1747,0
Sun Oct 29 17:30:51 +0000 2017,0,49166,93293716,New York sometimes,11366,2038,460,383,True,24441,0
Sun Oct 08 15:35:04 +0000 2017,0,0,118173606,Washington DC,4728,925,253,4122,True,21175,0
Fri Oct 06 03:41:05 +0000 2017,1,0,118173606,Washington DC,4728,925,253,4122,True,21175,0
Wed Sep 27 17:29:47 +0000 2017,13,0,118173606,Washington DC,4728,925,253,4122,True,21175,0
Fri Sep 01 05:04:01 +0000 2017,0,634,97085081,"San Diego, CA",2277,2909,12,3580,False,4924,0
Mon Oct 02 16:03:48 +0000 2017,0,75277,799764016885329921,"Washington, DC",61663,63,997,8,True,271,0
Thu Nov 02 16:44:53 +0000 2017,0,0,25934849,"Washington, DC",4126,1195,200,18626,True,36828,0
Wed Nov 01 00:45:48 +0000 2017,1,0,25934849,"Washington, DC",4126,1195,200,18626,True,36828,0
Mon Oct 30 14:11:51 +0000 2017,6,0,25934849,"Washington, DC",4126,1195,200,18626,True,36828,0
Thu Oct 26 13:52:56 +0000 2017,1,0,25934849,"Washington, DC",4126,1195,200,18626,True,36828,0
Wed Oct 25 23:51:39 +0000 2017,0,5301,25934849,"Washington, DC",4126,1195,200,18626,True,36828,0
Fri Aug 18 16:41:43 +0000 2017,1,0,233407954,"Washington, D.C.",1175,1166,61,1122,True,2894,0
Tue Jul 11 14:23:33 +0000 2017,1,0,233407954,"Washington, D.C.",1175,1166,61,1122,True,2894,0
Wed Oct 25 15:41:18 +0000 2017,3,6,167518667,New York,93747,1611,2491,6052,True,54296,0
Tue Oct 10 17:46:37 +0000 2017,15,3,167518667,New York,93747,1611,2491,6052,True,54296,0
Thu Oct 26 14:35:07 +0000 2017,11,0,589668709,"New York, NY",560,249,4,5251,False,903,0
Mon Oct 23 14:10:38 +0000 2017,1,0,589668709,"New York, NY",560,249,4,5251,False,903,0
Wed Aug 30 17:16:02 +0000 2017,11,1,589668709,"New York, NY",560,249,4,5251,False,903,0
Sun Jun 25 17:50:17 +0000 2017,3,0,589668709,"New York, NY",560,249,4,5251,False,903,0
Wed Jun 07 16:14:15 +0000 2017,6,0,589668709,"New York, NY",560,249,4,5251,False,903,0
Sat May 27 02:32:25 +0000 2017,1,0,589668709,"New York, NY",560,249,4,5251,False,903,0
Fri Jul 28 14:11:32 +0000 2017,12,1,2509007959,"Ludington, MI",436,320,1,5653,False,1766,0
Sun Jul 09 03:38:33 +0000 2017,0,82388,396461506,San Antonio Texas,899,2768,7,4859,False,1328,0
Mon Sep 19 02:35:55 +0000 2016,1,0,396461506,San Antonio Texas,899,2768,7,4859,False,1328,0
Wed Nov 01 05:17:43 +0000 2017,27,4,25233746,"Los Angeles, CA/ St.Louis,Mo",1127206,1365,3183,371,True,7580,0
Thu Oct 12 17:35:05 +0000 2017,46,12,25233746,"Los Angeles, CA/ St.Louis,Mo",1127206,1365,3183,371,True,7580,0
Sat Aug 12 05:01:27 +0000 2017,71,11,25233746,"Los Angeles, CA/ St.Louis,Mo",1127206,1365,3183,371,True,7580,0
Fri Oct 27 12:59:41 +0000 2017,375,111,18646108,"Washington, DC",1140199,6959,8378,2282,True,54328,0
Wed Oct 25 00:40:25 +0000 2017,0,535,18646108,"Washington, DC",1140199,6959,8378,2282,True,54328,0
Wed Nov 01 15:03:49 +0000 2017,36,1,354004333,"Columbus, OH",62731,846,313,8879,True,226,0
Mon Oct 30 18:04:57 +0000 2017,0,0,354004333,"Columbus, OH",62731,846,313,8879,True,226,0
Sun Oct 22 01:05:42 +0000 2017,26,0,354004333,"Columbus, OH",62731,846,313,8879,True,226,0
Sat Oct 21 21:37:14 +0000 2017,8,0,354004333,"Columbus, OH",62731,846,313,8879,True,226,0
Fri Oct 20 17:01:05 +0000 2017,7,0,354004333,"Columbus, OH",62731,846,313,8879,True,226,0
Thu Nov 02 01:13:47 +0000 2017,6,1,16123235,"Portland, OR",7392,342,275,18163,False,24173,0
Wed Nov 01 19:55:07 +0000 2017,2,0,16123235,"Portland, OR",7392,342,275,18163,False,24173,0
Wed Nov 01 19:43:12 +0000 2017,2,0,16123235,"Portland, OR",7392,342,275,18163,False,24173,0
Tue Oct 31 15:38:36 +0000 2017,3,0,16123235,"Portland, OR",7392,342,275,18163,False,24173,0
Thu Oct 26 19:46:36 +0000 2017,23,6,16123235,"Portland, OR",7392,342,275,18163,False,24173,0
Thu Oct 26 16:14:55 +0000 2017,3,0,16123235,"Portland, OR",7392,342,275,18163,False,24173,0
